<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TXXI.US,60,20250319,190000,49.87,49.87,49.81,49.8207,1210,0
TXXI.US,60,20250319,200000,49.98,49.98,49.98,49.98,369,0
TXXI.US,60,20250320,170000,50.04,50.04,50.005,50.005,542,0
TXXI.US,60,20250321,160000,50.06,50.07,50.06,50.07,857,0
TXXI.US,60,20250321,200000,50.01,50.01,50.01,50.01,651,0
TXXI.US,60,20250327,210000,50.01,50.01,49.5899,49.5899,1021,0
TXXI.US,60,20250401,190000,49.98,50.01,49.91,50.01,4959,0
TXXI.US,60,20250408,210000,50,50,48.645,48.645,776,0
TXXI.US,60,20250409,200000,48.6044,48.6044,48.6044,48.6044,943,0
TXXI.US,60,20250409,220000,49.13,49.17,49.13,49.15,1000,0
TXXI.US,60,20250410,170000,49.29,49.29,49.29,49.29,100,0
TXXI.US,60,20250410,190000,48.88,48.88,48.765,48.765,600,0
TXXI.US,60,20250414,210000,49.1,49.11,49.1,49.11,500,0
TXXI.US,60,20250421,220000,49.02,49.02,49.02,49.02,300,0
TXXI.US,60,20250422,200000,48.92,48.92,48.92,48.92,125,0
TXXI.US,60,20250502,170000,49.49,49.49,49.3,49.3,277,0
TXXI.US,60,20250512,190000,49.33,49.36,49.33,49.36,356,0
TXXI.US,60,20250515,170000,49.35,49.35,49.35,49.35,128,0
TXXI.US,60,20250515,180000,49.506,49.506,49.506,49.506,120,0
TXXI.US,60,20250520,170000,49.43,49.43,49.43,49.43,210,0
TXXI.US,60,20250520,210000,49.46,49.46,49.46,49.46,109,0
TXXI.US,60,20250521,220000,49.28,49.28,49.28,49.28,390,0
TXXI.US,60,20250527,200000,49.35,49.35,49.35,49.35,173,0
TXXI.US,60,20250528,190000,49.31,49.31,49.31,49.31,172,0
TXXI.US,60,20250602,200000,49.1,49.1,49.1,49.1,106,0
TXXI.US,60,20250602,210000,49.14,49.14,49.09,49.09,400,0
TXXI.US,60,20250612,170000,49.15,49.36,49.15,49.36,3272,0
TXXI.US,60,20250616,200000,49.35,49.35,49.35,49.35,100,0
TXXI.US,60,20250620,170000,49.305,49.305,49.265,49.305,567,0
TXXI.US,60,20250630,220000,49.475,49.55,49.46,49.55,9530,0
TXXI.US,60,20250701,180000,49.36,49.36,49.36,49.36,100,0
TXXI.US,60,20250703,190000,49.37,49.37,49.37,49.37,300,0
TXXI.US,60,20250707,160000,49.54,49.54,49.51,49.52,5563,0
TXXI.US,60,20250707,190000,49.3,49.3,49.3,49.3,197,0
TXXI.US,60,20250708,170000,49.3568,49.3568,49.3568,49.3568,500,0
TXXI.US,60,20250708,220000,49.37,49.37,49.34,49.34,505,0
TXXI.US,60,20250716,180000,49.2802,49.2802,49.121,49.15,3542,0
TXXI.US,60,20250717,170000,49.08,49.08,48.99,48.99,562,0
TXXI.US,60,20250717,220000,49.05,49.05,49.0499,49.0499,400,0
TXXI.US,60,20250718,200000,49.01,49.03,49.01,49.03,42286,0
TXXI.US,60,20250718,220000,49.03,49.08,49.03,49.0799,733,0
TXXI.US,60,20250722,160000,49.19,49.19,49.19,49.19,241,0
TXXI.US,60,20250723,170000,49.17,49.17,49.17,49.17,100,0
TXXI.US,60,20250723,200000,49.1499,49.1499,49.1499,49.1499,297,0
TXXI.US,60,20250724,190000,49.11,49.11,49.11,49.11,230,0
TXXI.US,60,20250725,160000,49.08,49.13,49.08,49.13,1306,0
TXXI.US,60,20250728,180000,49.2,49.2,49.2,49.2,100,0
TXXI.US,60,20250728,190000,49.2,49.21,49.2,49.2,600,0
TXXI.US,60,20250728,200000,49.21,49.22,49.175,49.175,600,0
TXXI.US,60,20250728,210000,49.21,49.21,49.2,49.2,1000,0
TXXI.US,60,20250728,220000,49.19,49.23,49.19,49.23,2500,0
TXXI.US,60,20250730,170000,49.29,49.29,49.29,49.29,186,0
TXXI.US,60,20250730,200000,49.2222,49.24,49.2222,49.24,1805,0
TXXI.US,60,20250801,220000,49.36,49.36,49.36,49.36,243,0
TXXI.US,60,20250804,170000,49.32,49.32,49.32,49.32,100,0
TXXI.US,60,20250806,180000,49.32,49.32,49.32,49.32,100,0
TXXI.US,60,20250806,210000,49.34,49.34,49.34,49.34,166,0
TXXI.US,60,20250806,220000,49.39,49.39,49.345,49.3513,1870,0
TXXI.US,60,20250807,170000,49.35,49.41,49.35,49.41,228,0
TXXI.US,60,20250807,220000,49.3268,49.3268,49.3268,49.3268,261,0
TXXI.US,60,20250808,160000,49.3,49.3,49.2999,49.2999,370,0
TXXI.US,60,20250808,200000,49.24,49.31,49.24,49.31,300,0
TXXI.US,60,20250811,180000,49.4,49.4,49.4,49.4,100,0
TXXI.US,60,20250811,190000,49.37,49.41,49.37,49.41,274,0
TXXI.US,60,20250811,210000,49.39,49.39,49.39,49.39,100,0
TXXI.US,60,20250812,170000,49.31,49.35,49.31,49.35,353,0
TXXI.US,60,20250812,200000,49.35,49.35,49.35,49.35,200,0
TXXI.US,60,20250812,220000,49.37,49.37,49.37,49.37,200,0
TXXI.US,60,20250813,190000,49.4,49.4,49.4,49.4,1100,0
TXXI.US,60,20250813,200000,49.41,49.41,49.3888,49.3888,600,0
TXXI.US,60,20250815,160000,49.277,49.277,49.277,49.277,300,0
TXXI.US,60,20250815,170000,49.2615,49.2615,49.2615,49.2615,305,0
TXXI.US,60,20250815,220000,49.32,49.32,49.32,49.32,200,0
TXXI.US,60,20250818,170000,49.34,49.34,49.33,49.33,228,0
TXXI.US,60,20250818,190000,49.32,49.32,49.32,49.32,200,0
TXXI.US,60,20250818,210000,49.32,49.32,49.32,49.32,200,0
TXXI.US,60,20250818,220000,49.32,49.33,49.32,49.33,500,0
TXXI.US,60,20250821,200000,49.27,49.29,49.27,49.29,340,0
TXXI.US,60,20250821,220000,49.22,49.27,49.22,49.27,618,0
TXXI.US,60,20250822,190000,49.44,49.44,49.44,49.44,200,0
TXXI.US,60,20250822,200000,49.44,49.44,49.3968,49.3968,328,0
TXXI.US,60,20250822,210000,49.43,49.43,49.4,49.4,1193,0
TXXI.US,60,20250822,220000,49.43,49.43,49.43,49.43,200,0
TXXI.US,60,20250825,170000,49.39,49.39,49.39,49.39,172,0
TXXI.US,60,20250825,200000,49.4086,49.4086,49.4086,49.4086,185,0
TXXI.US,60,20250827,220000,49.45,49.52,49.44,49.52,2323,0
TXXI.US,60,20250829,210000,49.51,49.51,49.49,49.49,1444,0
TXXI.US,60,20250829,220000,49.5,49.5,49.5,49.5,1098,0
TXXI.US,60,20250903,160000,49.32,49.32,49.32,49.32,400,0
TXXI.US,60,20250903,170000,49.36,49.38,49.36,49.38,900,0
TXXI.US,60,20250903,180000,49.41,49.42,49.41,49.42,900,0
TXXI.US,60,20250903,190000,49.42,49.43,49.42,49.43,888,0
TXXI.US,60,20250903,200000,49.43,49.44,49.43,49.43,300,0
TXXI.US,60,20250904,220000,49.4697,49.4697,49.4697,49.4697,264,0
TXXI.US,60,20250908,160000,49.89,49.89,49.89,49.89,2000,0
TXXI.US,60,20250911,200000,50.33,50.33,50.33,50.33,900,0
TXXI.US,60,20250915,180000,50.39,50.39,50.3899,50.3899,378,0
TXXI.US,60,20250915,200000,50.41,50.41,50.365,50.365,435,0
TXXI.US,60,20250915,210000,50.4,50.4,50.4,50.4,100,0
TXXI.US,60,20250916,180000,50.3899,50.39,50.37,50.37,1182,0
TXXI.US,60,20250917,210000,50.505,50.55,50.505,50.55,820,0
TXXI.US,60,20250917,220000,50.48,50.48,50.48,50.48,100,0
TXXI.US,60,20250918,170000,50.355,50.355,50.355,50.355,100,0
TXXI.US,60,20250918,180000,50.3609,50.39,50.3587,50.3587,2116,0
TXXI.US,60,20250918,220000,50.47,50.47,50.47,50.47,700,0
TXXI.US,60,20250919,170000,50.39,50.42,50.39,50.3908,390,0
TXXI.US,60,20250919,180000,50.42,50.42,50.4,50.4,456,0
TXXI.US,60,20250919,200000,50.42,50.42,50.4199,50.42,610,0
TXXI.US,60,20250919,210000,50.42,50.49,50.3835,50.47,2270,0
TXXI.US,60,20250922,170000,50.38,50.38,50.335,50.335,3900,0
TXXI.US,60,20250922,220000,50.44,50.44,50.44,50.44,234,0
TXXI.US,60,20250923,180000,50.44,50.44,50.4399,50.4399,400,0
TXXI.US,60,20250923,190000,50.43,50.43,50.395,50.395,800,0
TXXI.US,60,20250924,180000,50.3,50.3001,50.3,50.3001,230,0
TXXI.US,60,20250924,200000,50.3558,50.3558,50.3558,50.3558,200,0
TXXI.US,60,20250924,210000,50.3396,50.3396,50.3396,50.3396,565,0
TXXI.US,60,20250924,220000,50.34,50.3552,50.3,50.3,812,0
TXXI.US,60,20250925,200000,50.3271,50.3271,50.3271,50.3271,300,0
TXXI.US,60,20250925,210000,50.33,50.33,50.33,50.33,100,0
TXXI.US,60,20250926,160000,50.38,50.38,50.38,50.38,100,0
TXXI.US,60,20250926,170000,50.379,50.38,50.379,50.3799,1100,0
TXXI.US,60,20250926,190000,50.36,50.36,50.3372,50.3372,1750,0
TXXI.US,60,20250926,220000,50.36,50.36,50.36,50.36,208,0
TXXI.US,60,20250929,170000,50.36,50.36,50.36,50.36,100,0
TXXI.US,60,20251001,200000,50.3089,50.3089,50.2976,50.2976,477,0
TXXI.US,60,20251001,210000,50.32,50.32,50.32,50.32,1767,0
TXXI.US,60,20251007,170000,50.39,50.4,50.39,50.4,680,0
TXXI.US,60,20251007,210000,50.39,50.39,50.39,50.39,428,0
TXXI.US,60,20251008,190000,50.405,50.405,50.37,50.37,400,0
TXXI.US,60,20251010,160000,50.48,50.51,50.48,50.51,4674,0
TXXI.US,60,20251013,190000,50.669,50.669,50.669,50.669,100,0
TXXI.US,60,20251014,160000,50.61,50.62,50.61,50.62,1700,0
TXXI.US,60,20251014,200000,50.66,50.66,50.66,50.66,426,0
TXXI.US,60,20251014,210000,50.66,50.66,50.66,50.66,334,0
TXXI.US,60,20251014,220000,50.65,50.65,50.65,50.65,1861,0
TXXI.US,60,20251015,200000,50.61,50.61,50.61,50.61,1077,0
TXXI.US,60,20251016,170000,50.688,50.688,50.688,50.688,380,0
TXXI.US,60,20251016,180000,50.73,50.73,50.7143,50.7143,1380,0
TXXI.US,60,20251016,220000,50.7471,50.78,50.7471,50.78,1110,0
TXXI.US,60,20251020,180000,50.81,50.81,50.81,50.81,405,0
TXXI.US,60,20251020,220000,50.8399,50.85,50.795,50.85,3684,0
TXXI.US,60,20251022,190000,50.8799,50.8799,50.8799,50.8799,2225,0
TXXI.US,60,20251022,200000,50.86,50.86,50.86,50.86,196,0
TXXI.US,60,20251022,210000,50.83,50.88,50.83,50.83,2377,0
TXXI.US,60,20251022,220000,50.84,50.84,50.84,50.84,2000,0
TXXI.US,60,20251023,180000,50.81,50.81,50.81,50.81,1500,0
TXXI.US,60,20251023,210000,50.815,50.815,50.815,50.815,195,0
TXXI.US,60,20251023,220000,50.87,51,50.825,50.9,25798,0
TXXI.US,60,20251024,170000,50.91,50.91,50.91,50.91,100,0
TXXI.US,60,20251024,220000,50.8685,50.8685,50.8685,50.8685,100,0
TXXI.US,60,20251027,160000,50.91,50.91,50.91,50.91,100,0
TXXI.US,60,20251027,190000,50.87,50.87,50.87,50.87,1112,0
TXXI.US,60,20251027,200000,50.87,50.87,50.87,50.87,821,0
TXXI.US,60,20251027,210000,50.9,51.1,50.9,51.1,13040,0
TXXI.US,60,20251028,160000,50.82,50.82,50.82,50.82,100,0
TXXI.US,60,20251028,180000,50.91,50.91,50.91,50.91,1700,0
TXXI.US,60,20251028,190000,50.91,50.91,50.8301,50.8301,1532,0
TXXI.US,60,20251028,210000,50.92,50.94,50.92,50.935,4720,0
TXXI.US,60,20251029,190000,50.81,50.8101,50.81,50.8101,600,0
TXXI.US,60,20251031,160000,50.86,50.86,50.8599,50.8599,250,0
TXXI.US,60,20251031,180000,50.8599,50.8599,50.8599,50.8599,139,0
TXXI.US,60,20251103,220000,50.615,50.66,50.615,50.66,955,0
TXXI.US,60,20251104,170000,50.69,50.71,50.69,50.71,222,0
TXXI.US,60,20251104,210000,50.69,50.69,50.69,50.69,765,0
TXXI.US,60,20251111,190000,50.84,50.84,50.84,50.84,200,0
TXXI.US,60,20251112,200000,50.75,50.75,50.75,50.75,947,0
TXXI.US,60,20251113,170000,50.6401,50.6401,50.6401,50.6401,160,0
TXXI.US,60,20251113,200000,50.67,50.6701,50.67,50.6701,680,0
TXXI.US,60,20251114,190000,50.67,50.67,50.67,50.67,986,0
TXXI.US,60,20251114,210000,50.65,50.65,50.65,50.65,493,0
TXXI.US,60,20251117,200000,50.6764,50.6764,50.6764,50.6764,112,0
TXXI.US,60,20251117,220000,50.6899,50.6899,50.6899,50.6899,371,0
TXXI.US,60,20251118,190000,50.73,50.73,50.73,50.73,1350,0
TXXI.US,60,20251119,220000,50.74,50.74,50.63,50.63,6300,0
TXXI.US,60,20251120,170000,50.689,50.71,50.689,50.71,1086,0
TXXI.US,60,20251120,220000,50.71,50.71,50.7099,50.7099,308,0
TXXI.US,60,20251121,180000,50.75,50.75,50.75,50.75,100,0
