<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAN.US,60,20240411,160000,79.7,79.7,79.7,79.7,500,0
UAN.US,60,20240411,170000,79.32,79.32,77.75,77.75,4797,0
UAN.US,60,20240411,180000,77.5,78.3899,77,78.0001,10883,0
UAN.US,60,20240411,190000,78.4,79.09,78.4,79.04,3051,0
UAN.US,60,20240411,200000,79.7017,79.7017,79.5,79.7,825,0
UAN.US,60,20240411,210000,79.1,79.1,79.1,79.1,241,0
UAN.US,60,20240411,220000,78.75,80,78.75,80,3171,0
UAN.US,60,20240412,160000,80.23,80.23,79.5,79.94,3327,0
UAN.US,60,20240412,170000,79.7,80.06,79.55,79.775,3246,0
UAN.US,60,20240412,180000,79.94,79.94,79.635,79.635,404,0
UAN.US,60,20240412,190000,79.25,79.5148,78.61,78.912,1992,0
UAN.US,60,20240412,200000,78.72,79.42,78.72,78.915,400,0
UAN.US,60,20240412,210000,79.184,79.184,77.25,77.615,4685,0
UAN.US,60,20240412,220000,77.9,78.6,77.55,78.55,5322,0
UAN.US,60,20240415,160000,78.1,78.72,78.1,78.72,1387,0
UAN.US,60,20240415,170000,79.83,79.83,78.35,78.35,1466,0
UAN.US,60,20240415,180000,79.0299,79.06,78.8,79.06,1602,0
UAN.US,60,20240415,190000,78.94,79.11,78.4,78.785,1867,0
UAN.US,60,20240415,200000,79,79,78.47,78.6,1389,0
UAN.US,60,20240415,210000,78.39,78.39,77.87,77.9,2373,0
UAN.US,60,20240415,220000,77.5101,77.92,77.5101,77.76,954,0
UAN.US,60,20240416,160000,77.94,78.84,77.7,77.8,1044,0
UAN.US,60,20240416,170000,77.81,77.81,77.04,77.32,2205,0
UAN.US,60,20240416,180000,77.17,77.17,76.85,76.85,600,0
UAN.US,60,20240416,190000,77.2622,77.2622,77,77.2227,1300,0
UAN.US,60,20240416,200000,77.37,77.37,77.37,77.37,193,0
UAN.US,60,20240416,210000,77.34,77.34,76.8,77.31,975,0
UAN.US,60,20240416,220000,77.25,77.74,77.25,77.74,1541,0
UAN.US,60,20240417,160000,78.27,78.39,78.105,78.37,500,0
UAN.US,60,20240417,170000,78.25,78.25,77.79,77.79,1266,0
UAN.US,60,20240417,180000,77.8602,78.1999,77.1,77.3197,3544,0
UAN.US,60,20240417,190000,77.2,77.2,76.2,76.88,7903,0
UAN.US,60,20240417,200000,76.6001,76.885,76.6001,76.885,909,0
UAN.US,60,20240417,210000,76.7943,76.7943,76.6038,76.6038,457,0
UAN.US,60,20240417,220000,76.325,76.63,75.73,76.2,3365,0
UAN.US,60,20240418,170000,76.56,77.03,76.56,77.03,300,0
UAN.US,60,20240418,180000,76.8804,76.8804,76.425,76.425,3328,0
UAN.US,60,20240418,190000,76.4743,76.93,76.3,76.3,545,0
