<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VEXC.US,60,20251002,160000,76.58,76.58,76.57,76.57,600,0
VEXC.US,60,20251002,170000,76.3252,76.3252,76.32,76.32,925,0
VEXC.US,60,20251002,180000,76.26,76.28,76.2212,76.2212,635,0
VEXC.US,60,20251002,210000,76.426,76.46,76.426,76.46,1970,0
VEXC.US,60,20251002,220000,76.455,76.46,76.455,76.455,600,0
VEXC.US,60,20251003,160000,76.6792,76.7116,76.6792,76.6912,874,0
VEXC.US,60,20251003,170000,76.7,76.78,76.66,76.755,4358,0
VEXC.US,60,20251003,190000,76.79,76.79,76.75,76.77,3660,0
VEXC.US,60,20251003,200000,76.71,76.71,76.535,76.535,1580,0
VEXC.US,60,20251003,210000,76.5456,76.62,76.5456,76.5956,2616,0
VEXC.US,60,20251003,220000,76.635,76.695,76.635,76.66,900,0
VEXC.US,60,20251006,160000,76.86,76.94,76.785,76.94,6201,0
VEXC.US,60,20251006,170000,76.94,76.94,76.845,76.845,4700,0
VEXC.US,60,20251006,180000,76.88,76.88,76.8,76.8474,1650,0
VEXC.US,60,20251006,190000,76.84,76.84,76.8399,76.8399,2580,0
VEXC.US,60,20251006,200000,76.91,76.91,76.9,76.9,900,0
VEXC.US,60,20251006,210000,76.915,76.95,76.89,76.95,1200,0
VEXC.US,60,20251006,220000,76.95,76.95,76.89,76.89,6800,0
VEXC.US,60,20251007,160000,77.43,77.44,77.41,77.44,15175,0
VEXC.US,60,20251007,170000,77.318,77.318,77.2015,77.215,829,0
VEXC.US,60,20251007,180000,77.18,77.27,77.01,77.01,11194,0
VEXC.US,60,20251007,190000,77.01,77.06,76.96,77.01,900,0
VEXC.US,60,20251007,200000,77.0072,77.0072,77,77,695,0
VEXC.US,60,20251007,210000,76.855,76.94,76.855,76.94,1181,0
VEXC.US,60,20251007,220000,76.9286,76.9286,76.91,76.91,400,0
VEXC.US,60,20251008,160000,76.59,77,76.57,77,28200,0
VEXC.US,60,20251008,170000,77.11,77.175,77.11,77.16,2916,0
VEXC.US,60,20251008,180000,77.19,77.24,77.17,77.24,6080,0
VEXC.US,60,20251008,190000,77.25,77.28,77.215,77.28,110178,0
VEXC.US,60,20251008,200000,77.23,77.25,77.23,77.24,500,0
VEXC.US,60,20251008,210000,77.21,77.26,77.1995,77.26,900,0
VEXC.US,60,20251008,220000,77.29,77.36,77.28,77.36,527,0
VEXC.US,60,20251009,160000,77.42,77.42,77.395,77.395,200,0
VEXC.US,60,20251009,170000,77.2,77.2,76.6,77.07,31310,0
VEXC.US,60,20251009,180000,77.09,77.09,76.995,77.03,720,0
VEXC.US,60,20251009,190000,77.09,77.09,76.98,76.98,645,0
VEXC.US,60,20251009,200000,76.8815,76.8815,76.85,76.85,620,0
VEXC.US,60,20251009,210000,76.825,76.825,76.825,76.825,100,0
VEXC.US,60,20251010,160000,77.03,77.03,77.03,77.03,130,0
VEXC.US,60,20251010,170000,77.01,77.01,76.95,76.95,6535,0
VEXC.US,60,20251010,180000,76.51,76.51,75.88,75.88,5406,0
VEXC.US,60,20251010,190000,75.8,75.82,75.58,75.58,600,0
