<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WFC_A.US,60,20240411,160000,20.97,20.99,20.72,20.75,12675,0
WFC_A.US,60,20240411,170000,20.72,20.79,20.64,20.71,9406,0
WFC_A.US,60,20240411,180000,20.7,20.86,20.6905,20.84,8026,0
WFC_A.US,60,20240411,190000,20.755,20.81,20.705,20.72,9139,0
WFC_A.US,60,20240411,200000,20.705,20.8279,20.7,20.7963,11637,0
WFC_A.US,60,20240411,210000,20.8,20.84,20.72,20.7242,16298,0
WFC_A.US,60,20240411,220000,20.75,20.8,20.72,20.73,5978,0
WFC_A.US,60,20240412,160000,20.71,20.73,20.6721,20.73,2091,0
WFC_A.US,60,20240412,170000,20.77,20.79,20.7148,20.78,4275,0
WFC_A.US,60,20240412,180000,20.7647,20.78,20.68,20.68,56838,0
WFC_A.US,60,20240412,190000,20.68,20.75,20.65,20.685,16852,0
WFC_A.US,60,20240412,200000,20.71,20.74,20.6662,20.7207,3877,0
WFC_A.US,60,20240412,210000,20.72,20.72,20.62,20.64,9374,0
WFC_A.US,60,20240412,220000,20.67,20.67,20.57,20.57,4994,0
WFC_A.US,60,20240415,160000,20.57,20.57,20.42,20.42,4880,0
WFC_A.US,60,20240415,170000,20.42,20.42,20.18,20.18,9287,0
WFC_A.US,60,20240415,180000,20.25,20.25,20.05,20.23,8830,0
WFC_A.US,60,20240415,190000,20.1028,20.23,20.1,20.1485,11065,0
WFC_A.US,60,20240415,200000,20.125,20.14,20.06,20.075,4641,0
WFC_A.US,60,20240415,210000,20.0765,20.14,20.07,20.07,4062,0
WFC_A.US,60,20240415,220000,20.06,20.06,20,20.03,23675,0
WFC_A.US,60,20240416,160000,19.92,19.924,19.81,19.92,5378,0
WFC_A.US,60,20240416,170000,20.02,20.06,19.95,20,9340,0
WFC_A.US,60,20240416,180000,20.053,20.1192,20.0101,20.09,9708,0
WFC_A.US,60,20240416,190000,20.06,20.11,20.05,20.09,11212,0
WFC_A.US,60,20240416,200000,20.09,20.1225,20.05,20.0901,22836,0
WFC_A.US,60,20240416,210000,20.0903,20.18,20.09,20.13,8824,0
WFC_A.US,60,20240416,220000,20.1,20.1399,20.08,20.08,9155,0
WFC_A.US,60,20240417,160000,20.19,20.245,20.1008,20.245,4181,0
WFC_A.US,60,20240417,170000,20.1937,20.24,20.1462,20.1462,12695,0
WFC_A.US,60,20240417,180000,20.2,20.23,20.16,20.23,8259,0
WFC_A.US,60,20240417,190000,20.215,20.22,20.175,20.175,1363,0
WFC_A.US,60,20240417,200000,20.2,20.26,20.19,20.2202,10151,0
WFC_A.US,60,20240417,210000,20.27,20.3299,20.24,20.2499,7440,0
WFC_A.US,60,20240417,220000,20.24,20.27,20.15,20.17,8122,0
WFC_A.US,60,20240418,160000,20.14,20.14,20.06,20.1,14448,0
WFC_A.US,60,20240418,170000,20.12,20.1691,20.11,20.1691,4490,0
WFC_A.US,60,20240418,180000,20.1457,20.1457,20.08,20.08,12945,0
WFC_A.US,60,20240418,190000,20.08,20.12,20.01,20.02,12360,0
WFC_A.US,60,20240418,200000,20.045,20.0596,20.01,20.0596,2618,0
WFC_A.US,60,20240418,210000,20.0413,20.06,19.98,20.04,7819,0
WFC_A.US,60,20240418,220000,20.01,20.09,20.01,20.04,6647,0
WFC_A.US,60,20240419,160000,20.13,20.13,20.05,20.05,412,0
WFC_A.US,60,20240419,170000,20.07,20.13,20.05,20.05,1870,0
WFC_A.US,60,20240419,180000,20.05,20.13,20.05,20.0801,5195,0
WFC_A.US,60,20240419,190000,20.115,20.2031,20.0801,20.2031,9427,0
WFC_A.US,60,20240419,200000,20.155,20.17,20.12,20.12,3275,0
WFC_A.US,60,20240419,210000,20.12,20.14,20.1,20.11,6062,0
WFC_A.US,60,20240419,220000,20.1261,20.19,20.11,20.19,14748,0
WFC_A.US,60,20240422,160000,20.14,20.16,20.11,20.12,6726,0
WFC_A.US,60,20240422,170000,20.2,20.2,20.15,20.2,2591,0
WFC_A.US,60,20240422,180000,20.1646,20.1759,20.13,20.17,2001,0
WFC_A.US,60,20240422,190000,20.17,20.21,20.1407,20.175,2584,0
WFC_A.US,60,20240422,200000,20.18,20.25,20.18,20.25,3969,0
WFC_A.US,60,20240422,210000,20.2439,20.31,20.2005,20.31,10173,0
WFC_A.US,60,20240422,220000,20.3,20.34,20.2268,20.3,7044,0
WFC_A.US,60,20240423,160000,20.3,20.49,20.25,20.47,4756,0
WFC_A.US,60,20240423,170000,20.42,20.47,20.42,20.46,3380,0
WFC_A.US,60,20240423,180000,20.47,20.54,20.47,20.52,8176,0
WFC_A.US,60,20240423,190000,20.52,20.52,20.46,20.46,23455,0
WFC_A.US,60,20240423,200000,20.49,20.56,20.49,20.56,26073,0
WFC_A.US,60,20240423,210000,20.57,20.61,20.56,20.6014,19182,0
WFC_A.US,60,20240423,220000,20.58,20.67,20.56,20.67,12784,0
WFC_A.US,60,20240424,160000,20.6,20.65,20.55,20.5586,4793,0
WFC_A.US,60,20240424,170000,20.53,20.53,20.47,20.5,3519,0
WFC_A.US,60,20240424,180000,20.4891,20.5699,20.48,20.5,1394,0
WFC_A.US,60,20240424,190000,20.5452,20.63,20.54,20.6214,10196,0
WFC_A.US,60,20240424,200000,20.63,20.7399,20.63,20.72,1392,0
WFC_A.US,60,20240424,210000,20.73,20.73,20.68,20.69,2230,0
WFC_A.US,60,20240424,220000,20.69,20.78,20.6565,20.69,9877,0
WFC_A.US,60,20240425,160000,20.45,20.45,20.37,20.39,7455,0
WFC_A.US,60,20240425,170000,20.28,20.47,20.27,20.36,29717,0
WFC_A.US,60,20240425,180000,20.38,20.41,20.35,20.35,6959,0
WFC_A.US,60,20240425,190000,20.36,20.45,20.36,20.43,12852,0
WFC_A.US,60,20240425,200000,20.43,20.43,20.395,20.41,5622,0
WFC_A.US,60,20240425,210000,20.4512,20.46,20.415,20.46,2503,0
WFC_A.US,60,20240425,220000,20.49,20.59,20.47,20.49,22712,0
WFC_A.US,60,20240426,160000,20.58,20.65,20.58,20.65,1846,0
WFC_A.US,60,20240426,170000,20.65,20.69,20.5501,20.6,20283,0
WFC_A.US,60,20240426,180000,20.6,20.6,20.53,20.53,9431,0
WFC_A.US,60,20240426,190000,20.55,20.58,20.53,20.54,7510,0
WFC_A.US,60,20240426,200000,20.55,20.555,20.53,20.53,6288,0
WFC_A.US,60,20240426,210000,20.565,20.565,20.43,20.5,11426,0
WFC_A.US,60,20240426,220000,20.52,20.53,20.49,20.49,2076,0
WFC_A.US,60,20240429,160000,20.56,20.5899,20.54,20.54,2457,0
WFC_A.US,60,20240429,170000,20.51,20.62,20.4933,20.6186,4354,0
WFC_A.US,60,20240429,180000,20.5126,20.5899,20.4901,20.58,3656,0
WFC_A.US,60,20240429,190000,20.58,20.6485,20.565,20.6485,7127,0
WFC_A.US,60,20240429,200000,20.65,20.665,20.65,20.665,1438,0
WFC_A.US,60,20240429,210000,20.6757,20.68,20.61,20.6513,5969,0
WFC_A.US,60,20240429,220000,20.6,20.63,20.54,20.61,3569,0
WFC_A.US,60,20240430,160000,20.58,20.6,20.52,20.5305,2605,0
WFC_A.US,60,20240430,170000,20.5448,20.65,20.5301,20.55,25753,0
WFC_A.US,60,20240430,180000,20.55,20.58,20.52,20.58,41428,0
WFC_A.US,60,20240430,190000,20.55,20.5755,20.53,20.55,6360,0
WFC_A.US,60,20240430,200000,20.56,20.5899,20.54,20.55,2233,0
WFC_A.US,60,20240430,210000,20.52,20.5239,20.45,20.495,5726,0
WFC_A.US,60,20240430,220000,20.47,20.5,20.09,20.16,127368,0
WFC_A.US,60,20240501,160000,20.22,20.37,20.2001,20.22,5883,0
WFC_A.US,60,20240501,170000,20.29,20.355,20.27,20.29,18723,0
WFC_A.US,60,20240501,180000,20.27,20.28,20.23,20.23,13103,0
WFC_A.US,60,20240501,190000,20.25,20.305,20.25,20.26,21372,0
WFC_A.US,60,20240501,200000,20.2825,20.3,20.26,20.29,7197,0
WFC_A.US,60,20240501,210000,20.33,20.44,20.3,20.44,5578,0
WFC_A.US,60,20240501,220000,20.43,20.45,20.29,20.42,54934,0
WFC_A.US,60,20240502,160000,20.41,20.43,20.3501,20.4,5779,0
WFC_A.US,60,20240502,170000,20.35,20.411,20.35,20.3723,7035,0
WFC_A.US,60,20240502,180000,20.43,20.55,20.43,20.505,7119,0
WFC_A.US,60,20240502,190000,20.505,20.535,20.46,20.46,6339,0
WFC_A.US,60,20240502,200000,20.5017,20.5017,20.5,20.5,599,0
WFC_A.US,60,20240502,210000,20.515,20.54,20.49,20.5299,4405,0
WFC_A.US,60,20240502,220000,20.5,20.61,20.44,20.52,21584,0
WFC_A.US,60,20240507,160000,20.9,20.925,20.8827,20.8827,2435,0
WFC_A.US,60,20240507,170000,20.9215,20.9698,20.89,20.91,3844,0
WFC_A.US,60,20240507,180000,20.85,20.8999,20.8401,20.8474,3008,0
WFC_A.US,60,20240507,190000,20.89,20.92,20.82,20.91,6519,0
WFC_A.US,60,20240507,200000,20.8484,20.9,20.8215,20.8215,1604,0
WFC_A.US,60,20240507,210000,20.84,20.87,20.76,20.8091,6806,0
WFC_A.US,60,20240507,220000,20.77,20.85,20.7401,20.85,5491,0
WFC_A.US,60,20240508,160000,20.74,20.78,20.66,20.78,2545,0
WFC_A.US,60,20240508,170000,20.725,20.8,20.725,20.8,2396,0
WFC_A.US,60,20240508,180000,20.775,20.79,20.73,20.7525,3280,0
WFC_A.US,60,20240508,190000,20.77,20.7949,20.71,20.71,2179,0
WFC_A.US,60,20240508,200000,20.7,20.7,20.48,20.5,47597,0
WFC_A.US,60,20240508,210000,20.5,20.51,20.4,20.475,8204,0
WFC_A.US,60,20240508,220000,20.49,20.5299,20.45,20.45,5270,0
WFC_A.US,60,20240509,160000,20.5,20.5,20.32,20.32,12101,0
WFC_A.US,60,20240509,170000,20.355,20.54,20.35,20.46,9481,0
WFC_A.US,60,20240509,180000,20.46,20.5057,20.41,20.43,16878,0
WFC_A.US,60,20240509,190000,20.42,20.45,20.42,20.435,4168,0
WFC_A.US,60,20240509,200000,20.435,20.52,20.435,20.52,5424,0
WFC_A.US,60,20240509,210000,20.52,20.58,20.51,20.57,6055,0
WFC_A.US,60,20240509,220000,20.57,20.58,20.47,20.49,11867,0
WFC_A.US,60,20240510,160000,20.55,20.55,20.5,20.52,1104,0
WFC_A.US,60,20240510,170000,20.52,20.575,20.39,20.39,6458,0
WFC_A.US,60,20240510,180000,20.4,20.4798,20.4,20.445,2925,0
WFC_A.US,60,20240510,190000,20.4199,20.47,20.4199,20.445,3629,0
WFC_A.US,60,20240510,200000,20.45,20.47,20.43,20.4698,13031,0
WFC_A.US,60,20240510,210000,20.47,20.47,20.47,20.47,234,0
WFC_A.US,60,20240510,220000,20.41,20.47,20.41,20.46,4407,0
WFC_A.US,60,20240513,160000,20.54,20.54,20.4933,20.4933,723,0
WFC_A.US,60,20240513,170000,20.54,20.5899,20.48,20.5899,3601,0
WFC_A.US,60,20240513,180000,20.51,20.5899,20.51,20.5899,2259,0
WFC_A.US,60,20240513,190000,20.5766,20.58,20.4949,20.53,2492,0
WFC_A.US,60,20240513,200000,20.5399,20.5795,20.5395,20.545,2081,0
WFC_A.US,60,20240513,210000,20.579,20.579,20.5156,20.5201,5557,0
WFC_A.US,60,20240513,220000,20.5618,20.5618,20.48,20.48,4233,0
WFC_A.US,60,20240514,160000,20.58,20.58,20.58,20.58,467,0
WFC_A.US,60,20240514,170000,20.57,20.59,20.4975,20.51,10246,0
WFC_A.US,60,20240514,180000,20.51,20.5337,20.49,20.5337,5585,0
WFC_A.US,60,20240514,190000,20.49,20.56,20.49,20.56,8700,0
WFC_A.US,60,20240514,200000,20.525,20.525,20.43,20.46,3748,0
WFC_A.US,60,20240514,210000,20.46,20.55,20.43,20.49,3087,0
WFC_A.US,60,20240514,220000,20.51,20.51,20.34,20.35,7702,0
WFC_A.US,60,20240515,160000,20.5,20.63,20.5,20.56,6083,0
WFC_A.US,60,20240515,170000,20.61,20.61,20.5505,20.5505,1731,0
WFC_A.US,60,20240515,180000,20.5501,20.585,20.54,20.54,5959,0
WFC_A.US,60,20240515,190000,20.5799,20.58,20.4903,20.52,30173,0
