<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WFC_C.US,60,20240411,160000,19.63,19.65,19.45,19.53,9706,0
WFC_C.US,60,20240411,170000,19.53,19.54,19.28,19.43,8051,0
WFC_C.US,60,20240411,180000,19.3632,19.45,19.34,19.45,13220,0
WFC_C.US,60,20240411,190000,19.42,19.45,19.33,19.34,24638,0
WFC_C.US,60,20240411,200000,19.32,19.39,19.31,19.39,41350,0
WFC_C.US,60,20240411,210000,19.37,19.47,19.35,19.35,46499,0
WFC_C.US,60,20240411,220000,19.37,19.4,19.33,19.35,11654,0
WFC_C.US,60,20240412,160000,19.29,19.41,19.28,19.2801,6292,0
WFC_C.US,60,20240412,170000,19.36,19.45,19.3001,19.37,34467,0
WFC_C.US,60,20240412,180000,19.37,19.4125,19.37,19.37,5487,0
WFC_C.US,60,20240412,190000,19.37,19.38,19.29,19.3,6934,0
WFC_C.US,60,20240412,200000,19.3,19.3,19.24,19.29,11263,0
WFC_C.US,60,20240412,210000,19.2501,19.33,19.22,19.2327,7334,0
WFC_C.US,60,20240412,220000,19.24,19.25,19.16,19.16,7999,0
WFC_C.US,60,20240415,160000,19.19,19.19,19.02,19.02,10527,0
WFC_C.US,60,20240415,170000,19.0649,19.0649,18.78,18.83,16229,0
WFC_C.US,60,20240415,180000,18.8,18.85,18.67,18.75,17933,0
WFC_C.US,60,20240415,190000,18.7899,18.83,18.77,18.8,5426,0
WFC_C.US,60,20240415,200000,18.7976,18.7976,18.71,18.73,6540,0
WFC_C.US,60,20240415,210000,18.75,18.78,18.72,18.735,11162,0
WFC_C.US,60,20240415,220000,18.71,18.78,18.71,18.73,13431,0
WFC_C.US,60,20240416,160000,18.61,18.6127,18.54,18.6,9578,0
WFC_C.US,60,20240416,170000,18.6,18.75,18.6,18.71,41731,0
WFC_C.US,60,20240416,180000,18.68,18.8,18.66,18.74,32087,0
WFC_C.US,60,20240416,190000,18.7,18.74,18.68,18.68,9063,0
WFC_C.US,60,20240416,200000,18.7,18.72,18.64,18.68,34313,0
WFC_C.US,60,20240416,210000,18.7,18.75,18.69,18.71,28364,0
WFC_C.US,60,20240416,220000,18.71,18.71,18.65,18.65,25777,0
WFC_C.US,60,20240417,160000,18.76,18.78,18.69,18.69,4780,0
WFC_C.US,60,20240417,170000,18.74,18.76,18.7,18.76,22165,0
WFC_C.US,60,20240417,180000,18.75,18.829,18.71,18.7624,9608,0
WFC_C.US,60,20240417,190000,18.73,18.751,18.725,18.73,11626,0
WFC_C.US,60,20240417,200000,18.75,18.77,18.73,18.765,15973,0
WFC_C.US,60,20240417,210000,18.77,18.86,18.75,18.75,9004,0
WFC_C.US,60,20240417,220000,18.75,18.7683,18.7,18.73,13489,0
WFC_C.US,60,20240418,160000,18.79,18.79,18.65,18.735,5292,0
WFC_C.US,60,20240418,170000,18.72,18.75,18.69,18.74,13337,0
WFC_C.US,60,20240418,180000,18.76,18.77,18.68,18.7,21079,0
WFC_C.US,60,20240418,190000,18.69,18.7182,18.62,18.62,18448,0
WFC_C.US,60,20240418,200000,18.67,18.67,18.64,18.6406,2208,0
WFC_C.US,60,20240418,210000,18.68,18.69,18.64,18.66,8976,0
WFC_C.US,60,20240418,220000,18.67,18.73,18.65,18.65,19191,0
WFC_C.US,60,20240419,160000,18.74,18.74,18.73,18.73,2502,0
WFC_C.US,60,20240419,170000,18.685,18.7299,18.65,18.67,3233,0
WFC_C.US,60,20240419,180000,18.688,18.77,18.67,18.77,5388,0
WFC_C.US,60,20240419,190000,18.74,18.86,18.71,18.86,20661,0
WFC_C.US,60,20240419,200000,18.85,18.8925,18.77,18.82,31362,0
WFC_C.US,60,20240419,210000,18.8,18.85,18.77,18.79,15976,0
WFC_C.US,60,20240419,220000,18.8,18.86,18.8,18.81,10094,0
WFC_C.US,60,20240422,160000,18.79,18.91,18.79,18.91,363,0
WFC_C.US,60,20240422,170000,18.86,18.9,18.82,18.86,7712,0
WFC_C.US,60,20240422,180000,18.83,18.8743,18.78,18.8215,18155,0
WFC_C.US,60,20240422,190000,18.83,18.84,18.82,18.83,10108,0
WFC_C.US,60,20240422,200000,18.83,18.99,18.82,18.99,15493,0
WFC_C.US,60,20240422,210000,18.95,18.96,18.93,18.95,4511,0
WFC_C.US,60,20240422,220000,18.95,19,18.94,18.96,10319,0
WFC_C.US,60,20240423,160000,18.97,19.115,18.91,19.115,3612,0
WFC_C.US,60,20240423,170000,19.095,19.175,18.99,19.165,8626,0
WFC_C.US,60,20240423,180000,19.15,19.25,19.1301,19.1301,11296,0
WFC_C.US,60,20240423,190000,19.1796,19.21,19.1601,19.185,6583,0
WFC_C.US,60,20240423,200000,19.21,19.28,19.21,19.24,12810,0
WFC_C.US,60,20240423,210000,19.22,19.29,19.22,19.25,7099,0
WFC_C.US,60,20240423,220000,19.255,19.36,19.22,19.36,9967,0
WFC_C.US,60,20240424,160000,19.29,19.36,19.2,19.2,32954,0
WFC_C.US,60,20240424,170000,19.21,19.25,19.15,19.21,4062,0
WFC_C.US,60,20240424,180000,19.2072,19.24,19.19,19.225,10307,0
WFC_C.US,60,20240424,190000,19.24,19.31,19.24,19.29,7993,0
WFC_C.US,60,20240424,200000,19.3,19.41,19.3,19.4,3137,0
WFC_C.US,60,20240424,210000,19.41,19.43,19.38,19.43,3420,0
WFC_C.US,60,20240424,220000,19.43,19.49,19.4201,19.44,14353,0
WFC_C.US,60,20240425,160000,19.24,19.24,19.05,19.085,5193,0
WFC_C.US,60,20240425,170000,19.09,19.2,19.0744,19.12,7977,0
WFC_C.US,60,20240425,180000,19.0801,19.21,19.0801,19.155,8335,0
WFC_C.US,60,20240425,190000,19.19,19.22,19.1766,19.215,6814,0
WFC_C.US,60,20240425,200000,19.215,19.215,19.13,19.13,12624,0
WFC_C.US,60,20240425,210000,19.1999,19.22,19.158,19.22,3002,0
WFC_C.US,60,20240425,220000,19.25,19.26,19.21,19.21,2709,0
WFC_C.US,60,20240426,160000,19.27,19.33,19.27,19.27,3636,0
WFC_C.US,60,20240426,170000,19.34,19.4178,19.2401,19.3514,14246,0
WFC_C.US,60,20240426,180000,19.31,19.3247,19.2701,19.2701,1641,0
WFC_C.US,60,20240426,190000,19.35,19.36,19.31,19.3102,5419,0
WFC_C.US,60,20240426,200000,19.32,19.3532,19.2609,19.34,4466,0
WFC_C.US,60,20240426,210000,19.31,19.31,19.23,19.24,6566,0
WFC_C.US,60,20240426,220000,19.29,19.31,19.23,19.23,9657,0
WFC_C.US,60,20240429,160000,19.28,19.29,19.26,19.29,1924,0
WFC_C.US,60,20240429,170000,19.26,19.39,19,19.34,13149,0
WFC_C.US,60,20240429,180000,19.37,19.3895,19.34,19.34,4366,0
WFC_C.US,60,20240429,190000,19.34,19.38,19.34,19.37,11371,0
WFC_C.US,60,20240429,200000,19.37,19.42,19.36,19.41,5166,0
WFC_C.US,60,20240429,210000,19.39,19.44,19.39,19.405,3937,0
WFC_C.US,60,20240429,220000,19.41,19.42,19.2976,19.35,8557,0
WFC_C.US,60,20240430,160000,19.28,19.33,19.2536,19.2536,2862,0
WFC_C.US,60,20240430,170000,19.305,19.3168,19.25,19.27,3226,0
WFC_C.US,60,20240430,180000,19.26,19.26,19.21,19.26,8039,0
WFC_C.US,60,20240430,190000,19.26,19.26,19.23,19.23,5187,0
WFC_C.US,60,20240430,200000,19.2602,19.2602,19.22,19.22,21392,0
WFC_C.US,60,20240430,210000,19.22,19.29,19.16,19.26,26731,0
WFC_C.US,60,20240430,220000,19.22,19.26,19,19.05,136068,0
WFC_C.US,60,20240501,160000,19.14,19.18,19.06,19.065,6291,0
WFC_C.US,60,20240501,170000,19.13,19.18,19.1,19.17,13454,0
WFC_C.US,60,20240501,180000,19.14,19.17,19.11,19.14,11050,0
WFC_C.US,60,20240501,190000,19.135,19.16,19.1227,19.135,3392,0
WFC_C.US,60,20240501,200000,19.111,19.18,19.111,19.18,1326,0
WFC_C.US,60,20240501,210000,19.18,19.31,19.14,19.31,17581,0
WFC_C.US,60,20240501,220000,19.34,19.3496,19.245,19.28,9287,0
WFC_C.US,60,20240502,160000,19.28,19.32,19.28,19.32,1427,0
WFC_C.US,60,20240502,170000,19.26,19.3316,19.1801,19.3316,5966,0
WFC_C.US,60,20240502,180000,19.38,19.4,19.2701,19.3152,4029,0
WFC_C.US,60,20240502,190000,19.3068,19.3841,19.3068,19.3841,765,0
WFC_C.US,60,20240502,200000,19.4,19.4,19.3155,19.365,2200,0
WFC_C.US,60,20240502,210000,19.42,19.42,19.311,19.36,4209,0
WFC_C.US,60,20240502,220000,19.4099,19.41,19.3454,19.39,15242,0
WFC_C.US,60,20240507,160000,19.73,19.74,19.7,19.7,1470,0
WFC_C.US,60,20240507,170000,19.71,19.745,19.6963,19.6963,2647,0
WFC_C.US,60,20240507,180000,19.7213,19.7327,19.68,19.685,2715,0
WFC_C.US,60,20240507,190000,19.69,19.7113,19.66,19.7113,2720,0
WFC_C.US,60,20240507,200000,19.66,19.6673,19.6,19.6,865,0
WFC_C.US,60,20240507,210000,19.61,19.6371,19.56,19.57,9027,0
WFC_C.US,60,20240507,220000,19.54,19.6117,19.52,19.52,19171,0
WFC_C.US,60,20240508,160000,19.52,19.575,19.47,19.47,5835,0
WFC_C.US,60,20240508,170000,19.48,19.53,19.42,19.5079,8439,0
WFC_C.US,60,20240508,180000,19.5799,19.5799,19.505,19.54,5780,0
WFC_C.US,60,20240508,190000,19.5399,19.54,19.42,19.42,16297,0
WFC_C.US,60,20240508,200000,19.42,19.44,19.26,19.29,10118,0
WFC_C.US,60,20240508,210000,19.29,19.31,19.21,19.31,15164,0
WFC_C.US,60,20240508,220000,19.3489,19.3489,19.26,19.3,16525,0
WFC_C.US,60,20240509,160000,19.3,19.3,19.164,19.22,2937,0
WFC_C.US,60,20240509,170000,19.23,19.32,19.225,19.31,2367,0
WFC_C.US,60,20240509,180000,19.31,19.3699,19.25,19.25,21402,0
WFC_C.US,60,20240509,190000,19.2779,19.31,19.22,19.2981,6658,0
WFC_C.US,60,20240509,200000,19.26,19.35,19.24,19.295,6894,0
WFC_C.US,60,20240509,210000,19.295,19.31,19.29,19.29,2813,0
WFC_C.US,60,20240509,220000,19.32,19.33,19.25,19.28,9333,0
WFC_C.US,60,20240510,160000,19.28,19.28,19.2299,19.2299,752,0
WFC_C.US,60,20240510,170000,19.3,19.3,19.1905,19.1905,3777,0
WFC_C.US,60,20240510,180000,19.2,19.25,19.17,19.22,7485,0
WFC_C.US,60,20240510,190000,19.21,19.24,19.19,19.23,12771,0
WFC_C.US,60,20240510,200000,19.25,19.25,19.2,19.2419,4602,0
WFC_C.US,60,20240510,210000,19.2499,19.2499,19.2,19.2045,2022,0
WFC_C.US,60,20240510,220000,19.224,19.29,19.224,19.24,12540,0
WFC_C.US,60,20240513,160000,19.29,19.29,19.255,19.255,1575,0
WFC_C.US,60,20240513,170000,19.255,19.355,19.255,19.355,6491,0
WFC_C.US,60,20240513,180000,19.3825,19.4002,19.31,19.31,4825,0
WFC_C.US,60,20240513,190000,19.3151,19.3899,19.31,19.3899,12741,0
WFC_C.US,60,20240513,200000,19.3899,19.3899,19.3286,19.3286,5139,0
WFC_C.US,60,20240513,210000,19.3585,19.3693,19.32,19.345,3965,0
WFC_C.US,60,20240513,220000,19.33,19.34,19.2895,19.3,4122,0
WFC_C.US,60,20240514,160000,19.39,19.39,19.325,19.325,398,0
WFC_C.US,60,20240514,170000,19.37,19.42,19.31,19.355,11845,0
WFC_C.US,60,20240514,180000,19.35,19.3823,19.31,19.31,6961,0
WFC_C.US,60,20240514,190000,19.31,19.4,19.29,19.38,13278,0
WFC_C.US,60,20240514,200000,19.32,19.325,19.28,19.28,4456,0
WFC_C.US,60,20240514,210000,19.2801,19.325,19.28,19.325,5259,0
WFC_C.US,60,20240514,220000,19.3321,19.3487,19.25,19.25,7443,0
WFC_C.US,60,20240515,160000,19.45,19.51,19.33,19.51,6982,0
WFC_C.US,60,20240515,170000,19.4013,19.4999,19.4013,19.4999,5558,0
WFC_C.US,60,20240515,180000,19.45,19.45,19.39,19.39,5421,0
WFC_C.US,60,20240515,190000,19.4,19.45,19.4,19.425,13157,0
WFC_C.US,60,20240515,200000,19.425,19.45,19.4101,19.4333,4798,0
WFC_C.US,60,20240515,210000,19.45,19.45,19.423,19.425,2378,0
WFC_C.US,60,20240515,220000,19.44,19.4686,19.37,19.46,20445,0
WFC_C.US,60,20240516,160000,19.5,19.51,19.38,19.38,10880,0
WFC_C.US,60,20240516,170000,19.425,19.425,19.39,19.4,7101,0
WFC_C.US,60,20240516,180000,19.41,19.4576,19.41,19.41,14088,0
WFC_C.US,60,20240516,190000,19.4,19.4,19.38,19.39,4403,0
WFC_C.US,60,20240516,200000,19.3873,19.3945,19.2868,19.375,9168,0
WFC_C.US,60,20240516,210000,19.375,19.3943,19.35,19.36,3108,0
WFC_C.US,60,20240516,220000,19.36,19.4,19.35,19.4,4831,0
WFC_C.US,60,20240517,160000,19.35,19.364,19.35,19.364,1360,0
WFC_C.US,60,20240517,170000,19.3612,19.3612,19.2611,19.32,5822,0
WFC_C.US,60,20240517,180000,19.29,19.3499,19.28,19.3205,4949,0
WFC_C.US,60,20240517,190000,19.2886,19.3499,19.2802,19.3499,2412,0
WFC_C.US,60,20240517,200000,19.2858,19.3457,19.2801,19.2801,2124,0
WFC_C.US,60,20240517,210000,19.3,19.36,19.3,19.3546,1421,0
WFC_C.US,60,20240517,220000,19.33,19.3884,19.31,19.37,8907,0
WFC_C.US,60,20240520,160000,19.36,19.42,19.36,19.39,6492,0
WFC_C.US,60,20240520,170000,19.36,19.44,19.36,19.44,1309,0
WFC_C.US,60,20240520,180000,19.3301,19.3921,19.3301,19.3746,1674,0
WFC_C.US,60,20240520,190000,19.37,19.41,19.335,19.35,7542,0
WFC_C.US,60,20240520,200000,19.39,19.41,19.33,19.33,11902,0
WFC_C.US,60,20240520,210000,19.39,19.39,19.33,19.37,2170,0
WFC_C.US,60,20240520,220000,19.3401,19.365,19.3369,19.35,24206,0
WFC_C.US,60,20240521,160000,19.35,19.35,19.35,19.35,800,0
WFC_C.US,60,20240521,170000,19.37,19.4851,19.3501,19.45,1226,0
WFC_C.US,60,20240521,180000,19.42,19.42,19.38,19.4,13166,0
WFC_C.US,60,20240521,190000,19.3817,19.4184,19.3817,19.39,6381,0
WFC_C.US,60,20240521,200000,19.39,19.39,19.34,19.34,3901,0
WFC_C.US,60,20240521,210000,19.3486,19.36,19.32,19.33,20240,0
WFC_C.US,60,20240521,220000,19.32,19.37,19.32,19.32,12903,0
WFC_C.US,60,20240522,160000,19.32,19.3201,19.28,19.3,2063,0
WFC_C.US,60,20240522,170000,19.2219,19.41,19.2219,19.41,14135,0
WFC_C.US,60,20240522,180000,19.3,19.3,19.2601,19.28,1345,0
WFC_C.US,60,20240522,190000,19.275,19.2899,19.25,19.25,5728,0
WFC_C.US,60,20240522,200000,19.27,19.29,19.26,19.2851,6585,0
WFC_C.US,60,20240522,210000,19.26,19.38,19.26,19.33,13687,0
WFC_C.US,60,20240522,220000,19.3014,19.38,19.26,19.3,8589,0
WFC_C.US,60,20240523,160000,19.3,19.3,19.13,19.185,4753,0
WFC_C.US,60,20240523,170000,19.2472,19.2472,19.07,19.1248,17882,0
WFC_C.US,60,20240523,180000,19.07,19.13,19.07,19.12,12208,0
WFC_C.US,60,20240523,190000,19.1,19.105,19.05,19.075,6842,0
WFC_C.US,60,20240523,200000,19.08,19.16,19.08,19.1325,16893,0
WFC_C.US,60,20240523,210000,19.14,19.22,19.09,19.17,11007,0
WFC_C.US,60,20240523,220000,19.14,19.22,19.13,19.17,21233,0
WFC_C.US,60,20240524,160000,19.24,19.2496,19.24,19.2496,1214,0
WFC_C.US,60,20240524,170000,19.23,19.302,19.205,19.28,7719,0
WFC_C.US,60,20240524,180000,19.2709,19.37,19.2609,19.33,7823,0
WFC_C.US,60,20240524,190000,19.345,19.39,19.32,19.37,5073,0
WFC_C.US,60,20240524,200000,19.39,19.42,19.39,19.405,2106,0
WFC_C.US,60,20240524,210000,19.43,19.44,19.39,19.43,7207,0
WFC_C.US,60,20240524,220000,19.43,19.47,19.403,19.42,6066,0
WFC_C.US,60,20240528,160000,19.5,19.57,19.41,19.41,18972,0
WFC_C.US,60,20240528,170000,19.42,19.47,19.42,19.47,20352,0
WFC_C.US,60,20240528,180000,19.45,19.5,19.44,19.475,12915,0
WFC_C.US,60,20240528,190000,19.5,19.5,19.47,19.49,6180,0
WFC_C.US,60,20240528,200000,19.48,19.48,19.37,19.3965,43521,0
WFC_C.US,60,20240528,210000,19.39,19.4198,19.37,19.38,22945,0
WFC_C.US,60,20240528,220000,19.38,19.43,19.36,19.39,11780,0
WFC_C.US,60,20240529,160000,19.24,19.34,19.21,19.22,3297,0
WFC_C.US,60,20240529,170000,19.275,19.2899,19.16,19.16,10413,0
WFC_C.US,60,20240529,180000,19.175,19.23,19.16,19.23,3588,0
WFC_C.US,60,20240529,190000,19.21,19.2468,19.21,19.23,3401,0
WFC_C.US,60,20240529,200000,19.22,19.24,19.17,19.24,8872,0
WFC_C.US,60,20240529,210000,19.27,19.2847,19.08,19.1393,27246,0
WFC_C.US,60,20240529,220000,19.15,19.24,19.15,19.16,8699,0
WFC_C.US,60,20240530,160000,19.27,19.3,19.2,19.2,7263,0
WFC_C.US,60,20240530,170000,19.22,19.3497,19.2001,19.2236,7739,0
WFC_C.US,60,20240530,180000,19.24,19.4,19.2,19.3893,19184,0
WFC_C.US,60,20240530,190000,19.37,19.37,19.28,19.33,33575,0
WFC_C.US,60,20240530,200000,19.34,19.37,19.32,19.34,26708,0
WFC_C.US,60,20240530,210000,19.35,19.3977,19.35,19.35,10507,0
WFC_C.US,60,20240530,220000,19.35,19.36,19.29,19.34,9863,0
WFC_C.US,60,20240531,160000,19.23,19.28,19.03,19.1501,2293,0
WFC_C.US,60,20240531,170000,19.23,19.23,19.155,19.2194,5770,0
WFC_C.US,60,20240531,180000,19.17,19.19,19.14,19.145,6627,0
WFC_C.US,60,20240531,190000,19.1701,19.1701,19.13,19.13,11744,0
WFC_C.US,60,20240531,200000,19.15,19.16,19.1301,19.16,3437,0
WFC_C.US,60,20240531,210000,19.1504,19.2,19.14,19.15,6297,0
WFC_C.US,60,20240531,220000,19.185,19.26,19.1,19.22,46926,0
WFC_C.US,60,20240603,160000,19.265,19.265,19.265,19.265,106,0
WFC_C.US,60,20240603,170000,19.2401,19.28,19.24,19.26,3028,0
WFC_C.US,60,20240603,180000,19.245,19.3,19.245,19.27,5790,0
WFC_C.US,60,20240603,190000,19.27,19.27,19.2,19.24,12777,0
WFC_C.US,60,20240603,200000,19.225,19.265,19.2101,19.25,16348,0
WFC_C.US,60,20240603,210000,19.25,19.28,19.23,19.26,13003,0
WFC_C.US,60,20240603,220000,19.2594,19.26,19.23,19.25,20318,0
WFC_C.US,60,20240604,160000,19.25,19.38,19.25,19.32,18381,0
WFC_C.US,60,20240604,170000,19.34,19.39,19.32,19.32,31128,0
WFC_C.US,60,20240604,180000,19.32,19.3201,19.2628,19.32,9076,0
WFC_C.US,60,20240604,190000,19.3,19.36,19.3,19.35,3328,0
WFC_C.US,60,20240604,200000,19.35,19.38,19.3262,19.35,9252,0
WFC_C.US,60,20240604,210000,19.35,19.4195,19.35,19.3657,2503,0
WFC_C.US,60,20240604,220000,19.35,19.42,19.295,19.4,43461,0
WFC_C.US,60,20240605,160000,19.45,19.45,19.32,19.32,1336,0
WFC_C.US,60,20240605,170000,19.33,19.36,19.2502,19.2797,3556,0
WFC_C.US,60,20240605,180000,19.2911,19.335,19.2911,19.335,1215,0
WFC_C.US,60,20240605,190000,19.3525,19.3681,19.335,19.3681,1374,0
WFC_C.US,60,20240605,200000,19.388,19.3921,19.36,19.3921,1392,0
WFC_C.US,60,20240605,210000,19.38,19.38,19.33,19.365,3440,0
WFC_C.US,60,20240605,220000,19.3944,19.3944,19.33,19.34,5851,0
WFC_C.US,60,20240606,160000,19.31,19.37,19.31,19.37,915,0
