<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLKP.US,60,20240411,160000,22,22.14,22,22.03,1492,0
WLKP.US,60,20240411,170000,22.14,22.28,22.03,22.12,3247,0
WLKP.US,60,20240411,180000,22.1,22.11,21.92,21.96,4038,0
WLKP.US,60,20240411,190000,21.97,22.0278,21.9513,22.01,2000,0
WLKP.US,60,20240411,200000,22.03,22.055,22.02,22.02,1050,0
WLKP.US,60,20240411,210000,22.015,22.015,22,22,1158,0
WLKP.US,60,20240411,220000,22.005,22.0899,22,22,6105,0
WLKP.US,60,20240412,160000,22,22,22,22,416,0
WLKP.US,60,20240412,170000,22,22.0185,21.9805,22.0176,1432,0
WLKP.US,60,20240412,180000,22.035,22.035,22.035,22.035,600,0
WLKP.US,60,20240412,190000,22.0899,22.0899,21.95,21.95,2224,0
WLKP.US,60,20240412,200000,21.98,22.02,21.95,22.005,4942,0
WLKP.US,60,20240412,210000,21.955,22.0299,21.955,22.0299,5288,0
WLKP.US,60,20240412,220000,21.9902,22,21.92,21.98,14500,0
WLKP.US,60,20240415,160000,22.18,22.18,21.91,21.972,4225,0
WLKP.US,60,20240415,170000,22,22.0081,21.9,21.93,9265,0
WLKP.US,60,20240415,180000,21.93,21.9794,21.93,21.9623,2234,0
WLKP.US,60,20240415,190000,21.93,21.9861,21.93,21.93,5000,0
WLKP.US,60,20240415,200000,21.9624,21.9624,21.91,21.94,1128,0
WLKP.US,60,20240415,210000,21.93,21.99,21.91,21.91,4070,0
WLKP.US,60,20240415,220000,21.94,21.9799,21.9,21.9,6004,0
WLKP.US,60,20240416,160000,21.9,22.1,21.9,22.03,1258,0
WLKP.US,60,20240416,170000,22.01,22.01,22.01,22.01,463,0
WLKP.US,60,20240416,180000,21.96,21.96,21.945,21.945,1800,0
WLKP.US,60,20240416,190000,21.9569,21.9569,21.92,21.92,1768,0
WLKP.US,60,20240416,200000,21.95,21.98,21.9,21.92,4412,0
WLKP.US,60,20240416,210000,21.9999,21.9999,21.9,21.9,4135,0
WLKP.US,60,20240416,220000,21.91,21.96,21.8,21.9,9565,0
WLKP.US,60,20240417,160000,22.08,22.08,22.0214,22.0214,618,0
WLKP.US,60,20240417,170000,22.0899,22.0899,21.9,21.9,2411,0
WLKP.US,60,20240417,180000,21.93,22.09,21.91,21.9634,1000,0
WLKP.US,60,20240417,190000,21.9652,22.09,21.86,21.9307,4525,0
WLKP.US,60,20240417,200000,21.86,21.9,21.8,21.8,5525,0
WLKP.US,60,20240417,210000,21.8,21.85,21.7,21.85,5858,0
WLKP.US,60,20240417,220000,21.85,21.87,21.75,21.75,932,0
WLKP.US,60,20240418,160000,21.71,21.8303,21.7001,21.8303,3174,0
WLKP.US,60,20240418,170000,21.81,21.893,21.81,21.893,1150,0
WLKP.US,60,20240418,180000,21.915,21.915,21.75,21.75,2800,0
WLKP.US,60,20240418,190000,21.75,21.75,21.7,21.7458,2764,0
WLKP.US,60,20240418,200000,21.72,21.785,21.7,21.785,3928,0
WLKP.US,60,20240418,210000,21.83,21.83,21.83,21.83,5939,0
WLKP.US,60,20240418,220000,21.7552,21.77,21.71,21.74,1743,0
WLKP.US,60,20240419,160000,21.7,21.9,21.7,21.9,1352,0
WLKP.US,60,20240419,170000,21.9648,21.9648,21.9648,21.9648,433,0
WLKP.US,60,20240419,180000,21.865,21.865,21.865,21.865,1100,0
WLKP.US,60,20240419,190000,21.8902,21.8902,21.8287,21.8287,1210,0
WLKP.US,60,20240419,200000,21.8287,21.8287,21.78,21.78,450,0
WLKP.US,60,20240419,210000,21.8999,21.8999,21.75,21.75,1186,0
WLKP.US,60,20240419,220000,21.75,21.8,21.71,21.73,6692,0
WLKP.US,60,20240422,160000,21.7,21.89,21.7,21.7001,2154,0
WLKP.US,60,20240422,170000,21.76,21.76,21.76,21.76,400,0
WLKP.US,60,20240422,180000,21.8212,21.895,21.81,21.83,3452,0
WLKP.US,60,20240422,190000,21.84,21.96,21.84,21.96,575,0
WLKP.US,60,20240422,200000,21.98,21.98,21.98,21.98,100,0
WLKP.US,60,20240422,220000,21.875,21.875,21.73,21.85,1574,0
WLKP.US,60,20240423,160000,21.82,21.82,21.82,21.82,285,0
WLKP.US,60,20240423,170000,21.89,21.89,21.77,21.77,1312,0
WLKP.US,60,20240423,180000,21.88,21.88,21.78,21.78,848,0
WLKP.US,60,20240423,200000,21.78,21.8301,21.78,21.83,1292,0
WLKP.US,60,20240423,210000,21.81,21.93,21.8,21.93,3825,0
WLKP.US,60,20240423,220000,21.94,21.94,21.84,21.88,5710,0
WLKP.US,60,20240424,160000,21.82,21.8801,21.82,21.8801,1303,0
WLKP.US,60,20240424,170000,21.9702,21.9702,21.8501,21.8501,4586,0
WLKP.US,60,20240424,180000,21.86,21.93,21.86,21.86,1249,0
WLKP.US,60,20240424,190000,21.93,21.9499,21.9,21.9281,715,0
WLKP.US,60,20240424,200000,21.91,21.95,21.91,21.93,1357,0
WLKP.US,60,20240424,210000,21.95,21.95,21.95,21.95,390,0
WLKP.US,60,20240424,220000,21.93,21.94,21.91,21.94,3062,0
WLKP.US,60,20240425,160000,21.9,22,21.9,21.99,1519,0
