<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLII.US,60,20250801,180000,24.359,24.359,24.359,24.359,406,0
XLII.US,60,20250801,220000,24.33,24.33,24.33,24.33,100,0
XLII.US,60,20250805,190000,24.4868,24.4868,24.4868,24.4868,100,0
XLII.US,60,20250805,210000,24.51,24.51,24.51,24.51,100,0
XLII.US,60,20250807,220000,24.469,24.47,24.43,24.43,1200,0
XLII.US,60,20250811,170000,24.64,24.66,24.53,24.53,600,0
XLII.US,60,20250814,210000,24.69,24.7,24.69,24.7,200,0
XLII.US,60,20250815,170000,24.57,24.57,24.57,24.57,203,0
XLII.US,60,20250815,200000,24.621,24.621,24.621,24.621,122,0
XLII.US,60,20250820,210000,24.68,24.7,24.68,24.7,200,0
XLII.US,60,20250827,170000,24.91,24.949,24.91,24.93,500,0
XLII.US,60,20250827,200000,24.939,24.939,24.939,24.939,200,0
XLII.US,60,20250828,210000,24.99,24.99,24.99,24.99,100,0
XLII.US,60,20250902,180000,24.23,24.23,24.23,24.23,160,0
XLII.US,60,20250903,200000,24.13,24.15,24.12,24.12,3990,0
XLII.US,60,20250905,160000,24.43,24.43,24.43,24.43,800,0
XLII.US,60,20250905,220000,24.371,24.371,24.371,24.371,300,0
XLII.US,60,20250909,160000,24.319,24.319,24.319,24.319,123,0
XLII.US,60,20250909,180000,24.1832,24.1832,24.1832,24.1832,100,0
XLII.US,60,20250909,190000,24.239,24.24,24.239,24.239,506,0
XLII.US,60,20250909,200000,24.259,24.28,24.259,24.28,300,0
XLII.US,60,20250909,210000,24.28,24.28,24.2774,24.2774,293,0
XLII.US,60,20250910,160000,24.429,24.429,24.42,24.42,254,0
XLII.US,60,20250910,200000,24.45,24.45,24.4354,24.4354,200,0
XLII.US,60,20250910,210000,24.409,24.41,24.395,24.395,400,0
XLII.US,60,20250910,220000,24.41,24.41,24.41,24.41,200,0
XLII.US,60,20250911,170000,24.6401,24.669,24.6401,24.669,400,0
XLII.US,60,20250911,210000,24.649,24.649,24.649,24.649,700,0
XLII.US,60,20250912,160000,24.61,24.61,24.61,24.61,200,0
XLII.US,60,20250912,170000,24.639,24.639,24.58,24.58,600,0
XLII.US,60,20250912,180000,24.569,24.569,24.569,24.569,205,0
XLII.US,60,20250912,200000,24.56,24.56,24.56,24.56,100,0
XLII.US,60,20250912,220000,24.548,24.548,24.544,24.544,400,0
XLII.US,60,20250915,160000,24.55,24.55,24.55,24.55,250,0
XLII.US,60,20250915,170000,24.66,24.66,24.66,24.66,100,0
XLII.US,60,20250915,200000,24.551,24.551,24.551,24.551,100,0
XLII.US,60,20250915,220000,24.6,24.6,24.6,24.6,100,0
XLII.US,60,20250916,160000,24.679,24.679,24.6,24.6,403,0
XLII.US,60,20250916,170000,24.57,24.57,24.54,24.5401,987,0
XLII.US,60,20250916,190000,24.53,24.53,24.53,24.53,100,0
XLII.US,60,20250918,210000,24.6066,24.64,24.4,24.64,500,0
XLII.US,60,20250918,220000,24.571,24.5949,24.571,24.5949,800,0
XLII.US,60,20250922,160000,24.55,24.55,24.52,24.53,2800,0
XLII.US,60,20250922,170000,24.53,24.53,24.53,24.53,612,0
XLII.US,60,20250922,180000,24.56,24.63,24.56,24.63,3900,0
XLII.US,60,20250922,200000,24.691,24.691,24.691,24.691,100,0
XLII.US,60,20250922,210000,24.69,24.69,24.69,24.69,900,0
XLII.US,60,20250922,220000,24.7,24.7,24.69,24.69,3200,0
XLII.US,60,20250923,160000,24.76,24.789,24.76,24.7754,1662,0
XLII.US,60,20250923,180000,24.77,24.77,24.77,24.77,100,0
XLII.US,60,20250923,200000,24.689,24.689,24.689,24.689,300,0
XLII.US,60,20250924,170000,24.74,24.74,24.74,24.74,200,0
XLII.US,60,20250924,210000,24.67,24.68,24.67,24.68,500,0
XLII.US,60,20250925,170000,24.55,24.55,24.55,24.55,200,0
XLII.US,60,20250925,180000,24.54,24.54,24.54,24.54,500,0
