<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLKI.US,60,20250731,160000,25.165,25.17,25.14,25.14,6700,0
XLKI.US,60,20250731,180000,25.075,25.075,25.075,25.075,100,0
XLKI.US,60,20250731,190000,25.155,25.155,25.155,25.155,100,0
XLKI.US,60,20250731,200000,25.109,25.109,25.109,25.109,107,0
XLKI.US,60,20250731,210000,25.01,25.015,25.01,25.015,300,0
XLKI.US,60,20250731,220000,24.975,24.975,24.975,24.975,100,0
XLKI.US,60,20250801,180000,24.598,24.598,24.59,24.598,303,0
XLKI.US,60,20250801,200000,24.45,24.45,24.45,24.45,120,0
XLKI.US,60,20250804,160000,24.85,24.85,24.85,24.85,1000,0
XLKI.US,60,20250804,180000,24.87,24.87,24.8663,24.8663,200,0
XLKI.US,60,20250805,160000,25.01,25.01,25.01,25.01,200,0
XLKI.US,60,20250805,190000,24.83,24.83,24.8299,24.8299,200,0
XLKI.US,60,20250805,210000,24.835,24.835,24.775,24.775,574,0
XLKI.US,60,20250807,180000,25.16,25.16,25.13,25.13,700,0
XLKI.US,60,20250808,200000,25.24,25.24,25.2399,25.24,3000,0
XLKI.US,60,20250811,210000,25.245,25.245,25.24,25.24,620,0
XLKI.US,60,20250811,220000,25.2062,25.2062,25.205,25.205,230,0
XLKI.US,60,20250812,160000,25.32,25.32,25.32,25.32,2000,0
XLKI.US,60,20250812,170000,25.295,25.295,25.295,25.295,100,0
XLKI.US,60,20250812,180000,25.3965,25.3965,25.3965,25.3965,197,0
XLKI.US,60,20250812,190000,25.43,25.43,25.4299,25.4299,800,0
XLKI.US,60,20250812,200000,25.4305,25.4305,25.4305,25.4305,487,0
XLKI.US,60,20250812,210000,25.4562,25.4562,25.4562,25.4562,750,0
XLKI.US,60,20250813,160000,25.59,25.59,25.57,25.57,200,0
XLKI.US,60,20250813,180000,25.47,25.51,25.47,25.51,200,0
XLKI.US,60,20250813,190000,25.49,25.49,25.49,25.49,100,0
XLKI.US,60,20250814,170000,25.5,25.5,25.48,25.48,250,0
XLKI.US,60,20250814,220000,25.48,25.48,25.48,25.48,1000,0
XLKI.US,60,20250818,170000,25.38,25.3903,25.37,25.37,397,0
XLKI.US,60,20250818,190000,25.35,25.35,25.335,25.335,1400,0
XLKI.US,60,20250818,220000,25.425,25.425,25.425,25.425,150,0
XLKI.US,60,20250819,200000,25.07,25.09,25.07,25.0845,1000,0
XLKI.US,60,20250820,180000,24.74,24.74,24.74,24.74,3000,0
XLKI.US,60,20250820,210000,24.85,24.85,24.83,24.83,2000,0
XLKI.US,60,20250821,160000,24.85,24.9049,24.85,24.9049,970,0
XLKI.US,60,20250821,180000,24.91,24.91,24.91,24.91,100,0
