<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVR.US,60,20240411,200000,15.6,15.6,15.56,15.56,666,0
CVR.US,60,20240411,220000,15.63,15.63,15.31,15.6,321,0
CVR.US,60,20240412,160000,15.6,15.6,15.6,15.6,100,0
CVR.US,60,20240412,220000,15.6,15.6,15.6,15.6,200,0
CVR.US,60,20240415,160000,15.6,15.6,15.6,15.6,432,0
CVR.US,60,20240415,190000,15.65,15.65,15.525,15.525,775,0
CVR.US,60,20240416,220000,15.59,15.65,15.5,15.5,1170,0
CVR.US,60,20240417,210000,15.67,15.67,15.67,15.67,100,0
CVR.US,60,20240418,160000,16.185,16.185,16.185,16.185,156,0
CVR.US,60,20240424,220000,15.69,15.69,15.69,15.69,200,0
CVR.US,60,20240425,180000,15.3,15.3,15.3,15.3,100,0
CVR.US,60,20240425,200000,15.58,15.69,15.54,15.54,713,0
CVR.US,60,20240426,180000,16.1579,16.1579,16.1579,16.1579,200,0
CVR.US,60,20240426,190000,16.29,16.29,16.29,16.29,500,0
CVR.US,60,20240429,160000,16.29,16.29,16.29,16.29,538,0
CVR.US,60,20240430,170000,16.29,16.5423,15.79,15.79,1724,0
CVR.US,60,20240430,180000,16.02,16.02,16.02,16.02,400,0
CVR.US,60,20240502,190000,16.03,16.03,16.03,16.03,198,0
CVR.US,60,20240502,220000,16.5,16.5,16.29,16.29,600,0
CVR.US,60,20240503,210000,16.3,17.2599,16.3,17.2599,200,0
CVR.US,60,20240507,170000,16.68,16.6801,16.68,16.6801,200,0
CVR.US,60,20240507,200000,16.7,16.7,16.7,16.7,109,0
CVR.US,60,20240507,220000,16.68,16.68,16.68,16.68,209,0
CVR.US,60,20240508,180000,17.004,17.01,17.004,17.01,209,0
CVR.US,60,20240509,220000,16.7,16.86,16.68,16.86,400,0
CVR.US,60,20240510,160000,15.2,15.6,15.2,15.6,2100,0
CVR.US,60,20240510,170000,16.2599,16.2599,16.2599,16.2599,600,0
CVR.US,60,20240510,200000,16.236,16.236,16.236,16.236,100,0
CVR.US,60,20240510,210000,16.17,16.24,16.17,16.24,246,0
CVR.US,60,20240510,220000,16.25,16.25,16.25,16.25,200,0
CVR.US,60,20240514,160000,16,16,16,16,198,0
CVR.US,60,20240514,180000,16,16,15.4,15.4,516,0
CVR.US,60,20240514,200000,15.61,15.61,15.61,15.61,100,0
CVR.US,60,20240515,160000,15.62,15.62,15.62,15.62,100,0
CVR.US,60,20240515,170000,15.85,17,15.85,16.7,2098,0
CVR.US,60,20240515,180000,16.57,16.57,16.41,16.48,1251,0
CVR.US,60,20240515,190000,16.35,16.35,16.35,16.35,3594,0
CVR.US,60,20240515,220000,16.5,16.5,16.5,16.5,200,0
CVR.US,60,20240516,160000,16.32,16.38,16.01,16.01,1368,0
CVR.US,60,20240516,190000,16.5,16.5,16.25,16.25,400,0
CVR.US,60,20240516,220000,16.5,16.5,16.5,16.5,100,0
CVR.US,60,20240517,180000,16.75,16.75,16.75,16.75,145,0
CVR.US,60,20240517,190000,17,17,17,17,200,0
CVR.US,60,20240517,220000,16.45,16.5,16.4,16.5,311,0
CVR.US,60,20240521,160000,16.51,16.51,16.51,16.51,135,0
CVR.US,60,20240522,220000,16.55,16.75,16.55,16.75,457,0
CVR.US,60,20240528,180000,16.75,16.75,16.73,16.75,330,0
CVR.US,60,20240529,170000,16.75,16.75,16.3,16.3,400,0
CVR.US,60,20240530,160000,16.2,16.2,16.2,16.2,200,0
CVR.US,60,20240530,190000,16.19,16.19,16.19,16.19,200,0
CVR.US,60,20240531,160000,15.69,15.69,15.69,15.69,100,0
CVR.US,60,20240531,170000,15.99,16.0395,15.99,16.0395,946,0
CVR.US,60,20240531,210000,15.9108,15.9108,15.9108,15.9108,250,0
CVR.US,60,20240603,200000,16,16.41,16,16.41,1036,0
CVR.US,60,20240603,210000,16.41,16.41,16.3,16.3,400,0
CVR.US,60,20240604,190000,16.2,16.2,16.0001,16.0001,300,0
CVR.US,60,20240604,210000,16,16,16,16,594,0
CVR.US,60,20240604,220000,16,16,15.01,15.11,1649,0
CVR.US,60,20240605,160000,14.96,16.06,14.96,16.06,722,0
CVR.US,60,20240605,170000,16.4,16.46,16.2,16.46,350,0
CVR.US,60,20240605,220000,15.73,15.74,15.41,15.41,1501,0
CVR.US,60,20240607,160000,14.95,16.15,14.95,16.15,888,0
CVR.US,60,20240607,170000,15.825,15.825,15.5,15.5,300,0
CVR.US,60,20240607,210000,15.22,15.22,14.85,14.85,800,0
CVR.US,60,20240610,180000,15.14,15.8072,15.12,15.8072,958,0
CVR.US,60,20240610,190000,15.15,15.15,15.15,15.15,200,0
CVR.US,60,20240614,220000,15.5,15.5,15.5,15.5,239,0
CVR.US,60,20240617,170000,15,15.03,15,15.03,300,0
CVR.US,60,20240617,210000,15.06,15.07,15.05,15.07,500,0
CVR.US,60,20240618,180000,15.25,15.25,15.25,15.25,376,0
CVR.US,60,20240618,190000,15.11,15.12,15.11,15.11,498,0
CVR.US,60,20240618,220000,15.5,15.5,15.5,15.5,200,0
CVR.US,60,20240620,160000,15.57,15.57,15.57,15.57,155,0
CVR.US,60,20240621,220000,15.05,15.05,15.05,15.05,535,0
CVR.US,60,20240626,160000,14.86,15,14.86,15,600,0
CVR.US,60,20240626,170000,14.99,14.99,14.99,14.99,200,0
CVR.US,60,20240626,220000,15.136,15.136,15.136,15.136,100,0
CVR.US,60,20240627,160000,15,15,15,15,200,0
CVR.US,60,20240627,190000,14.82,14.82,14.82,14.82,100,0
CVR.US,60,20240627,200000,15.05,15.05,15.05,15.05,100,0
CVR.US,60,20240628,220000,15.05,15.05,14.76,14.81,600,0
CVR.US,60,20240701,170000,14.76,14.76,14.5,14.6186,2300,0
CVR.US,60,20240701,180000,14.45,14.45,14.2,14.2,730,0
CVR.US,60,20240701,190000,14.19,14.5,13.81,14.5,1092,0
CVR.US,60,20240702,220000,14.2,14.35,13.92,14.04,2146,0
CVR.US,60,20240705,200000,14.19,14.19,14.19,14.19,100,0
CVR.US,60,20240705,220000,14.29,14.29,14.29,14.29,200,0
CVR.US,60,20240708,180000,14.29,14.29,14.29,14.29,100,0
CVR.US,60,20240708,210000,14.2901,14.2901,14.2901,14.2901,128,0
CVR.US,60,20240712,220000,14.29,14.2901,14.29,14.2901,400,0
CVR.US,60,20240715,160000,14.815,14.815,14.75,14.75,601,0
CVR.US,60,20240715,180000,14.9,14.9,14.9,14.9,291,0
CVR.US,60,20240715,210000,15.11,15.11,14.9,14.91,400,0
CVR.US,60,20240716,170000,15.02,15.02,15.02,15.02,205,0
CVR.US,60,20240716,190000,15.06,15.06,15.06,15.06,450,0
CVR.US,60,20240716,220000,14.885,14.885,14.885,14.885,150,0
CVR.US,60,20240717,190000,15.3899,15.3899,15.3899,15.3899,300,0
CVR.US,60,20240717,220000,15.45,15.45,15.45,15.45,774,0
CVR.US,60,20240718,210000,15.565,15.565,15.565,15.565,100,0
CVR.US,60,20240719,200000,15.08,15.08,15.08,15.08,100,0
CVR.US,60,20240719,220000,15.25,15.25,15.25,15.25,100,0
CVR.US,60,20240723,180000,15.25,15.25,15.25,15.25,200,0
CVR.US,60,20240724,160000,15.25,15.25,15.25,15.25,1995,0
CVR.US,60,20240724,180000,15.25,15.25,15.25,15.25,425,0
CVR.US,60,20240725,220000,15.11,15.11,15.11,15.11,100,0
CVR.US,60,20240729,160000,15,15.12,15,15.11,675,0
CVR.US,60,20240731,180000,15.14,15.14,15.14,15.14,100,0
