<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FJET.US,60,20251222,160000,7.69,10.3499,7.57,9.282,1792012,0
FJET.US,60,20251222,170000,9.275,12.31,8.8,11.595,5274067,0
FJET.US,60,20251222,180000,11.56,16.48,11.15,15.04,6304252,0
FJET.US,60,20251222,190000,15.0825,17.8622,14.07,15.3544,5724405,0
FJET.US,60,20251222,200000,15.36,19.6798,14.65,18.34,6189137,0
FJET.US,60,20251222,210000,18.2865,22.08,17.5953,21.2149,6361560,0
FJET.US,60,20251222,220000,21.16,31.5,20.9001,31.5,8929204,0
FJET.US,60,20251223,160000,22.5,22.89,17.8,18.1956,2478240,0
FJET.US,60,20251223,170000,18.28,19.2,15.9,15.925,2437564,0
FJET.US,60,20251223,180000,15.9699,16.1999,15.07,15.4044,1397650,0
FJET.US,60,20251223,190000,15.337,15.4199,14.01,14.1724,1266965,0
FJET.US,60,20251223,200000,14.252,15.35,13.72,14.35,1587899,0
FJET.US,60,20251223,210000,14.4,14.56,12.78,13.14,1310516,0
FJET.US,60,20251223,220000,13.12,13.75,12.75,12.92,1069038,0
FJET.US,60,20251224,160000,14.15,15.88,13.66,15.045,3094139,0
FJET.US,60,20251224,170000,15.045,15.0491,12.575,12.7804,1987764,0
FJET.US,60,20251224,180000,12.7817,12.99,12.05,12.43,731754,0
FJET.US,60,20251224,190000,12.4206,12.67,12,12.36,871666,0
FJET.US,60,20251224,200000,12.33,12.4,12.33,12.4,47915,0
FJET.US,60,20251226,160000,12.04,14.72,12.03,14.48,2122742,0
FJET.US,60,20251226,170000,14.55,17.48,14.36,16.07,7862652,0
FJET.US,60,20251226,180000,16.0938,18.2,14.8301,14.87,5144893,0
FJET.US,60,20251226,190000,14.8546,15.28,13.55,14.0416,2643065,0
FJET.US,60,20251226,200000,14.1,15.37,14.0401,14.4224,2066723,0
FJET.US,60,20251226,210000,14.55,15.09,14.3,14.65,1113265,0
FJET.US,60,20251226,220000,14.6164,14.9,14.21,14.68,754749,0
