<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IAF.US,60,20240411,160000,11.1232,11.1359,11.0214,11.0214,5093.198495891762,0
IAF.US,60,20240411,170000,11.0978,11.1487,11.0468,11.1487,3389.3106621458,0
IAF.US,60,20240411,180000,11.1487,11.1487,11.0978,11.1487,1626.491960274,0
IAF.US,60,20240411,190000,11.1487,11.1487,11.0978,11.1283,3562.96028689,0
IAF.US,60,20240411,200000,11.1487,11.1741,11.1487,11.1741,1452.4494630756,0
IAF.US,60,20240411,210000,11.1741,11.1741,11.1489,11.1741,2425.9874045149,0
IAF.US,60,20240411,220000,11.1741,11.1741,11.0978,11.1741,3118.621541221,0
IAF.US,60,20240412,160000,11.0978,11.0978,11.0978,11.0978,722.4924432231525,0
IAF.US,60,20240412,170000,10.9959,11.0214,10.9959,10.9959,2823.9672005916,0
IAF.US,60,20240412,180000,10.9959,11.0265,10.9756,11.0087,3366.5240598038,0
IAF.US,60,20240412,190000,11.0087,11.0341,10.9196,10.9196,8369.7547636901,0
IAF.US,60,20240412,200000,10.8941,10.8941,10.8559,10.8559,4104.3385287397,0
IAF.US,60,20240412,210000,10.8433,10.8433,10.7669,10.7669,4990.2659128986,0
IAF.US,60,20240412,220000,10.7669,10.7669,10.6268,10.6651,8519.832041184,0
IAF.US,60,20240415,160000,10.6396,10.7669,10.6396,10.6655,1470.5215959675145,0
IAF.US,60,20240415,170000,10.7796,10.7796,10.6805,10.6905,605.02357942559,0
IAF.US,60,20240415,180000,10.6651,10.6651,10.436,10.6141,4124.7678963566,0
IAF.US,60,20240415,190000,10.5887,10.5887,10.5632,10.5632,1133.0441578334,0
IAF.US,60,20240415,200000,10.5632,10.5759,10.4614,10.4614,2821.6099658666,0
IAF.US,60,20240415,210000,10.4614,10.4614,10.436,10.436,5153.7008538343,0
IAF.US,60,20240415,220000,10.436,10.5378,10.4105,10.5123,6837.1593199633,0
IAF.US,60,20240416,160000,10.385,10.385,10.3087,10.3341,4341.240618605675,0
IAF.US,60,20240416,170000,10.3341,10.3341,10.2942,10.3087,4211.1998362746,0
IAF.US,60,20240416,180000,10.3059,10.3845,10.3059,10.3843,7081.5259864586,0
IAF.US,60,20240416,190000,10.3823,10.383,10.3596,10.3596,1119.6864943915,0
IAF.US,60,20240416,200000,10.3596,10.3845,10.3596,10.3843,510.734190424197,0
IAF.US,60,20240416,210000,10.3723,10.385,10.3596,10.385,589.30868125869,0
IAF.US,60,20240416,220000,10.3848,10.385,10.3596,10.385,14899.294952036,0
IAF.US,60,20240417,160000,10.4614,10.5378,10.4614,10.5378,2925.721166222304,0
IAF.US,60,20240417,170000,10.6141,10.6141,10.5887,10.5889,3344.9160748243,0
IAF.US,60,20240417,180000,10.5884,10.6141,10.5403,10.6141,5035.8391175826,0
IAF.US,60,20240417,190000,10.6141,10.6141,10.5429,10.5887,5016.195494874,0
IAF.US,60,20240417,200000,10.5635,10.5887,10.5635,10.5887,3051.8332240117,0
IAF.US,60,20240417,210000,10.6141,10.6141,10.5638,10.6141,10013.533111948,0
IAF.US,60,20240417,220000,10.6141,10.7159,10.5892,10.6651,16713.579945405,0
IAF.US,60,20240418,160000,10.6905,10.6905,10.6396,10.6396,821.4963016746121,0
IAF.US,60,20240418,170000,10.6523,10.6523,10.6396,10.6396,1495.2725605804,0
IAF.US,60,20240418,180000,10.6523,10.6523,10.6141,10.6141,669.45466190987,0
IAF.US,60,20240418,190000,10.6141,10.6141,10.6141,10.6141,78.57449083449184,0
IAF.US,60,20240418,200000,10.6141,10.6141,10.5889,10.5889,117.86173625174,0
IAF.US,60,20240418,210000,10.6014,10.6268,10.6014,10.6268,2491.2042319076,0
IAF.US,60,20240418,220000,10.6141,10.6141,10.5632,10.6141,8646.3369714275,0
IAF.US,60,20240419,160000,10.6141,10.6141,10.6141,10.6141,444.33874566905143,0
IAF.US,60,20240419,170000,10.6589,10.7414,10.6408,10.6905,6234.8858477169,0
IAF.US,60,20240419,180000,10.6905,10.6905,10.6523,10.6778,5225.5965129479,0
IAF.US,60,20240419,190000,10.6905,10.6905,10.6396,10.6653,3342.9517125535,0
IAF.US,60,20240419,200000,10.6396,10.6396,10.6141,10.6396,196.43622708623,0
IAF.US,60,20240419,210000,10.6332,10.6332,10.6332,10.6332,95.86087881808005,0
IAF.US,60,20240419,220000,10.6141,10.6141,10.5887,10.6141,1389.9827428621604,0
