<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IE.US,60,20240411,160000,10.33,10.33,10.18,10.205,12074,0
IE.US,60,20240411,170000,10.2,10.2,9.94,9.96,27872,0
IE.US,60,20240411,180000,9.937,10.09,9.88,10.065,94678,0
IE.US,60,20240411,190000,10.04,10.065,10.01,10.035,25546,0
IE.US,60,20240411,200000,10.035,10.12,10.02,10.12,55856,0
IE.US,60,20240411,210000,10.1,10.62,10.1,10.505,66258,0
IE.US,60,20240411,220000,10.47,10.5,10.26,10.34,170117,0
IE.US,60,20240412,160000,10.75,10.75,10.31,10.36,43948,0
IE.US,60,20240412,170000,10.37,10.88,10.34,10.78,93375,0
IE.US,60,20240412,180000,10.7687,10.91,10.74,10.82,57685,0
IE.US,60,20240412,190000,10.82,10.95,10.65,10.74,50298,0
IE.US,60,20240412,200000,10.72,10.75,10.42,10.55,73082,0
IE.US,60,20240412,210000,10.53,10.61,10.33,10.395,28031,0
IE.US,60,20240412,220000,10.395,10.48,10.29,10.46,124392,0
IE.US,60,20240415,160000,10.51,10.6,10.4,10.515,18762,0
IE.US,60,20240415,170000,10.515,10.67,10.44,10.49,26351,0
IE.US,60,20240415,180000,10.495,10.59,10.48,10.56,17590,0
IE.US,60,20240415,190000,10.555,10.61,10.49,10.6,20726,0
IE.US,60,20240415,200000,10.6,10.63,10.48,10.6,38961,0
IE.US,60,20240415,210000,10.6,10.61,10.48,10.52,42466,0
IE.US,60,20240415,220000,10.53,10.68,10.51,10.65,138738,0
IE.US,60,20240416,160000,10.44,10.44,10.25,10.26,22903,0
IE.US,60,20240416,170000,10.26,10.39,10.2,10.39,28404,0
IE.US,60,20240416,180000,10.37,10.44,10.23,10.245,45682,0
IE.US,60,20240416,190000,10.23,10.27,10.14,10.2,53694,0
IE.US,60,20240416,200000,10.2,10.26,10.0168,10.035,47807,0
IE.US,60,20240416,210000,10.035,10.25,10.035,10.24,57344,0
IE.US,60,20240416,220000,10.24,10.27,10.17,10.25,162555,0
IE.US,60,20240417,160000,10.24,10.55,10.2,10.52,30081,0
IE.US,60,20240417,170000,10.4628,10.55,10.41,10.51,37132,0
IE.US,60,20240417,180000,10.46,10.52,10.39,10.39,52652,0
IE.US,60,20240417,190000,10.42,10.53,10.325,10.53,34124,0
IE.US,60,20240417,200000,10.53,10.53,10.43,10.465,43677,0
IE.US,60,20240417,210000,10.45,10.46,10.31,10.31,36489,0
IE.US,60,20240417,220000,10.32,10.44,10.16,10.39,109136,0
IE.US,60,20240418,160000,10.38,10.615,10.31,10.6,25779,0
IE.US,60,20240418,170000,10.62,10.78,10.57,10.78,66905,0
IE.US,60,20240418,180000,10.7799,10.8,10.5,10.58,45502,0
IE.US,60,20240418,190000,10.58,10.6,10.49,10.49,20805,0
IE.US,60,20240418,200000,10.51,10.53,10.3938,10.485,19976,0
IE.US,60,20240418,210000,10.47,10.51,10.39,10.495,27753,0
IE.US,60,20240418,220000,10.49,10.56,10.4,10.52,342996,0
IE.US,60,20240419,160000,10.53,10.73,10.515,10.72,32511,0
IE.US,60,20240419,170000,10.72,10.81,10.69,10.69,28396,0
IE.US,60,20240419,180000,10.71,10.75,10.61,10.71,48030,0
IE.US,60,20240419,190000,10.73,10.8,10.67,10.685,74433,0
IE.US,60,20240419,200000,10.67,10.72,10.67,10.705,19449,0
IE.US,60,20240419,210000,10.69,10.69,10.52,10.565,57232,0
IE.US,60,20240419,220000,10.565,10.63,10.42,10.6,291465,0
IE.US,60,20240422,160000,10.56,10.61,10.11,10.19,16804,0
IE.US,60,20240422,170000,10.18,10.18,9.59,9.645,69797,0
IE.US,60,20240422,180000,9.61,9.74,9.525,9.59,44788,0
IE.US,60,20240422,190000,9.6,9.69,9.54,9.55,24691,0
IE.US,60,20240422,200000,9.54,9.63,9.43,9.6102,36997,0
IE.US,60,20240422,210000,9.6299,9.77,9.5403,9.64,41857,0
IE.US,60,20240422,220000,9.64,9.7,9.55,9.7,107820,0
IE.US,60,20240423,160000,9.55,9.85,9.54,9.85,16381,0
IE.US,60,20240423,170000,9.83,9.96,9.81,9.83,79513,0
IE.US,60,20240423,180000,9.8201,9.8201,9.52,9.53,41563,0
IE.US,60,20240423,190000,9.54,9.85,9.515,9.835,41640,0
IE.US,60,20240423,200000,9.825,9.825,9.765,9.81,13664,0
IE.US,60,20240423,210000,9.805,9.83,9.79,9.795,26162,0
IE.US,60,20240423,220000,9.8,9.8,9.565,9.73,149957,0
IE.US,60,20240424,160000,9.67,9.67,9.44,9.53,6254,0
IE.US,60,20240424,170000,9.5,9.5,9.195,9.27,37952,0
IE.US,60,20240424,180000,9.282,9.43,9.225,9.275,33212,0
IE.US,60,20240424,190000,9.29,9.38,9.27,9.38,14902,0
IE.US,60,20240424,200000,9.3802,9.46,9.38,9.44,17199,0
IE.US,60,20240424,210000,9.425,9.46,9.29,9.45,23648,0
IE.US,60,20240424,220000,9.435,9.435,9.33,9.4,114283,0
IE.US,60,20240425,160000,9.3,9.4,9.16,9.225,11368,0
IE.US,60,20240425,170000,9.2108,9.41,9.12,9.34,24582,0
IE.US,60,20240425,180000,9.34,9.37,9.27,9.35,20357,0
IE.US,60,20240425,190000,9.31,9.58,9.31,9.58,20716,0
IE.US,60,20240425,200000,9.57,9.74,9.53,9.66,38522,0
IE.US,60,20240425,210000,9.6788,9.71,9.55,9.63,21621,0
IE.US,60,20240425,220000,9.65,9.7,9.54,9.55,114499,0
IE.US,60,20240426,160000,9.7,10.1,9.7,9.95,21322,0
IE.US,60,20240426,170000,9.925,10.27,9.925,10.1,33747,0
IE.US,60,20240426,180000,10.115,10.26,10.09,10.26,16258,0
IE.US,60,20240426,190000,10.2426,10.33,10.18,10.32,121152,0
IE.US,60,20240426,200000,10.33,10.43,10.29,10.375,52882,0
