<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPTI-WS.US,60,20250730,180000,1.6611,1.77,1.64,1.7699,2800,0
MPTI-WS.US,60,20250730,190000,1.77,1.9,1.77,1.86,2643,0
MPTI-WS.US,60,20250730,200000,1.8,1.8,1.8,1.8,622,0
MPTI-WS.US,60,20250730,210000,1.85,1.85,1.785,1.8,1350,0
MPTI-WS.US,60,20250730,220000,1.7601,1.9,1.7601,1.9,550,0
MPTI-WS.US,60,20250731,170000,1.9,1.9,1.9,1.9,150,0
MPTI-WS.US,60,20250731,180000,1.81,1.81,1.8,1.8,3435,0
MPTI-WS.US,60,20250731,200000,1.85,1.85,1.8495,1.8495,1150,0
MPTI-WS.US,60,20250731,210000,1.765,1.765,1.73,1.75,1188,0
MPTI-WS.US,60,20250731,220000,1.71,1.8,1.7,1.8,3389,0
MPTI-WS.US,60,20250801,160000,1.71,1.72,1.71,1.72,601,0
MPTI-WS.US,60,20250801,170000,1.71,1.7999,1.7,1.7,800,0
MPTI-WS.US,60,20250801,190000,1.61,1.61,1.61,1.61,127,0
MPTI-WS.US,60,20250801,200000,1.61,1.67,1.61,1.67,600,0
MPTI-WS.US,60,20250801,220000,1.73,1.75,1.72,1.74,2274,0
MPTI-WS.US,60,20250804,170000,1.74,1.74,1.74,1.74,100,0
MPTI-WS.US,60,20250804,180000,1.74,1.74,1.74,1.74,100,0
MPTI-WS.US,60,20250804,190000,1.8,1.8,1.8,1.8,131,0
MPTI-WS.US,60,20250804,200000,1.8,1.88,1.6401,1.84,3494,0
MPTI-WS.US,60,20250804,210000,1.8621,1.89,1.86,1.86,1528,0
MPTI-WS.US,60,20250805,160000,1.77,1.86,1.77,1.81,400,0
MPTI-WS.US,60,20250805,170000,1.8,1.81,1.77,1.81,1637,0
MPTI-WS.US,60,20250805,180000,1.77,1.77,1.76,1.76,300,0
MPTI-WS.US,60,20250805,190000,1.81,1.85,1.81,1.85,1100,0
MPTI-WS.US,60,20250805,210000,1.85,1.86,1.85,1.86,1157,0
MPTI-WS.US,60,20250806,180000,1.88,1.88,1.88,1.88,100,0
MPTI-WS.US,60,20250806,190000,1.89,1.89,1.863,1.863,3800,0
MPTI-WS.US,60,20250806,210000,1.831,1.831,1.8301,1.8301,465,0
MPTI-WS.US,60,20250806,220000,1.8899,1.8955,1.86,1.8955,7347,0
MPTI-WS.US,60,20250807,160000,1.89,1.89,1.8899,1.8899,200,0
MPTI-WS.US,60,20250807,170000,1.82,1.89,1.82,1.8899,514,0
MPTI-WS.US,60,20250807,180000,1.8,1.889,1.8,1.889,1741,0
MPTI-WS.US,60,20250807,190000,1.79,1.8,1.79,1.8,200,0
MPTI-WS.US,60,20250807,220000,1.8,1.82,1.79,1.82,1400,0
MPTI-WS.US,60,20250808,180000,1.845,1.8486,1.8,1.8,1110,0
