<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPP_C.US,60,20241224,190000,10.0917,10.0917,10.0917,10.0917,343,0
OPP_C.US,60,20241226,160000,10.1,10.1,10.1,10.1,300,0
OPP_C.US,60,20241226,170000,10.0908,10.0908,10.0908,10.0908,500,0
OPP_C.US,60,20241226,190000,10.09,10.09,10.09,10.09,550,0
OPP_C.US,60,20241226,200000,10.075,10.075,10.06,10.06,3980,0
OPP_C.US,60,20241226,210000,10.0852,10.09,10.0852,10.09,1000,0
OPP_C.US,60,20241227,180000,10.06,10.0601,10.06,10.06,1034,0
OPP_C.US,60,20241227,210000,10.07,10.088,10.07,10.088,754,0
OPP_C.US,60,20241227,220000,10.07,10.07,10.06,10.06,1276,0
OPP_C.US,60,20241230,170000,10.06,10.06,10.06,10.06,400,0
OPP_C.US,60,20241230,190000,10.0799,10.0799,10.0799,10.0799,293,0
OPP_C.US,60,20241230,200000,10.06,10.06,10.06,10.06,100,0
OPP_C.US,60,20241230,210000,10.06,10.09,10.06,10.06,1520,0
OPP_C.US,60,20241230,220000,10.0601,10.0601,10.06,10.06,900,0
OPP_C.US,60,20241231,180000,10.1,10.1,10.06,10.0667,2400,0
OPP_C.US,60,20241231,190000,10.08,10.08,10.08,10.08,100,0
OPP_C.US,60,20241231,220000,10.06,10.079,10.06,10.079,1010,0
OPP_C.US,60,20250102,170000,10.0993,10.11,10.0928,10.1023,1242,0
OPP_C.US,60,20250103,210000,10.09,10.0932,10.09,10.0932,700,0
OPP_C.US,60,20250103,220000,10.0967,10.0967,10.0967,10.0967,250,0
OPP_C.US,60,20250106,170000,10.1,10.1,10.07,10.0756,1710,0
OPP_C.US,60,20250106,210000,10.1,10.1,10.1,10.1,417,0
OPP_C.US,60,20250106,220000,10.07,10.09,10.07,10.07,500,0
OPP_C.US,60,20250107,160000,10.0958,10.0958,10.0958,10.0958,250,0
OPP_C.US,60,20250107,190000,10.09,10.09,10.09,10.09,600,0
OPP_C.US,60,20250107,200000,10.09,10.09,10.09,10.09,1000,0
OPP_C.US,60,20250108,180000,10.1,10.1,10.1,10.1,250,0
OPP_C.US,60,20250108,190000,10.0981,10.0981,10.0981,10.0981,174,0
OPP_C.US,60,20250110,160000,10.08,10.08,10.07,10.0732,575,0
OPP_C.US,60,20250110,170000,10.075,10.08,10.075,10.08,385,0
OPP_C.US,60,20250110,200000,10.09,10.09,10.09,10.09,100,0
OPP_C.US,60,20250110,210000,10.0982,10.0982,10.0982,10.0982,190,0
OPP_C.US,60,20250110,220000,10.081,10.081,10.08,10.08,200,0
OPP_C.US,60,20250113,170000,10.08,10.08,10.08,10.08,200,0
OPP_C.US,60,20250113,180000,10.095,10.0999,10.09,10.0983,2176,0
OPP_C.US,60,20250113,220000,10.0801,10.0801,10.08,10.08,1693,0
OPP_C.US,60,20250114,170000,10.09,10.0901,10.09,10.0901,752,0
OPP_C.US,60,20250114,190000,10.1,10.1,10.06,10.06,454,0
OPP_C.US,60,20250114,210000,10.0985,10.0985,10.0985,10.0985,200,0
OPP_C.US,60,20250114,220000,10.0987,10.11,10.0987,10.1099,1050,0
OPP_C.US,60,20250115,170000,10.08,10.08,10.08,10.08,100,0
OPP_C.US,60,20250115,180000,10.09,10.09,10.0899,10.0899,200,0
OPP_C.US,60,20250115,190000,10.09,10.105,10.09,10.1001,7298,0
OPP_C.US,60,20250115,200000,10.11,10.12,10.11,10.11,1779,0
OPP_C.US,60,20250115,220000,10.1193,10.15,10.1193,10.14,1825,0
OPP_C.US,60,20250116,200000,10.07,10.07,10.07,10.07,475,0
OPP_C.US,60,20250117,210000,10.13,10.13,10.105,10.105,200,0
OPP_C.US,60,20250121,180000,10.16,10.16,10.16,10.16,100,0
OPP_C.US,60,20250121,190000,10.1237,10.1237,10.1237,10.1237,203,0
OPP_C.US,60,20250122,170000,10.11,10.11,10.11,10.11,100,0
OPP_C.US,60,20250123,180000,10.12,10.12,10.12,10.12,200,0
OPP_C.US,60,20250123,190000,10.11,10.12,10.08,10.09,3000,0
OPP_C.US,60,20250124,170000,10.1,10.1,10.1,10.1,400,0
OPP_C.US,60,20250124,180000,10.09,10.09,10.09,10.09,600,0
OPP_C.US,60,20250124,190000,10.1,10.1,10.1,10.1,100,0
OPP_C.US,60,20250124,210000,10.1001,10.1001,10.1001,10.1001,200,0
OPP_C.US,60,20250124,220000,10.1,10.1,10.09,10.09,1600,0
