<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTH.US,60,20251113,190000,3.5004,3.8,3.31,3.53,308903,0
OTH.US,60,20251113,200000,3.545,3.59,3.085,3.44,128102,0
OTH.US,60,20251113,210000,3.44,3.6,3.31,3.59,79611,0
OTH.US,60,20251113,220000,3.545,3.9,3.445,3.8,204629,0
OTH.US,60,20251114,160000,3.23,3.6,3.1619,3.535,45144,0
OTH.US,60,20251114,170000,3.535,3.75,3.51,3.5554,47611,0
OTH.US,60,20251114,180000,3.67,3.75,3.63,3.7,18607,0
OTH.US,60,20251114,190000,3.7,3.74,3.6,3.66,9717,0
OTH.US,60,20251114,200000,3.7072,3.715,3.6,3.68,14322,0
OTH.US,60,20251114,210000,3.7,3.7,3.55,3.55,23033,0
OTH.US,60,20251114,220000,3.55,3.7,3.3,3.7,55633,0
OTH.US,60,20251117,160000,3.54,3.56,3.325,3.33,32415,0
OTH.US,60,20251117,170000,3.33,3.41,3.3,3.3501,48807,0
OTH.US,60,20251117,180000,3.35,3.3995,3.32,3.38,5016,0
OTH.US,60,20251117,190000,3.32,3.55,3.32,3.44,25460,0
OTH.US,60,20251117,200000,3.4,3.4899,3.4,3.44,8687,0
OTH.US,60,20251117,210000,3.4499,3.47,3.4,3.45,8924,0
OTH.US,60,20251117,220000,3.4275,3.4275,3.311,3.39,12845,0
OTH.US,60,20251118,160000,3.42,3.493,3.41,3.46,14256,0
OTH.US,60,20251118,170000,3.4401,3.4494,3.44,3.44,11937,0
OTH.US,60,20251118,180000,3.4401,3.4401,3.41,3.41,7414,0
OTH.US,60,20251118,190000,3.41,3.42,3.41,3.41,5486,0
OTH.US,60,20251118,200000,3.4,3.405,3.31,3.31,4566,0
OTH.US,60,20251118,210000,3.31,3.345,3.25,3.25,14248,0
OTH.US,60,20251118,220000,3.27,3.33,3.27,3.3,6947,0
OTH.US,60,20251119,160000,3.2409,3.37,3.2114,3.34,12625,0
OTH.US,60,20251119,170000,3.3,3.31,3.28,3.28,3945,0
OTH.US,60,20251119,180000,3.28,3.29,3.23,3.2611,10052,0
OTH.US,60,20251119,190000,3.28,3.38,3.2101,3.2578,21338,0
OTH.US,60,20251119,200000,3.255,3.2684,3.25,3.2684,3308,0
OTH.US,60,20251119,210000,3.2145,3.27,3.2145,3.25,7054,0
OTH.US,60,20251119,220000,3.22,3.2715,3.21,3.21,3696,0
OTH.US,60,20251120,160000,3.25,3.25,3.2207,3.245,2625,0
OTH.US,60,20251120,170000,3.27,3.27,3.27,3.27,1153,0
OTH.US,60,20251120,180000,3.295,3.2999,3.23,3.23,3560,0
OTH.US,60,20251120,190000,3.24,3.2577,3.2,3.2,28086,0
OTH.US,60,20251120,200000,3.2,3.23,3.2,3.22,9122,0
OTH.US,60,20251120,210000,3.21,3.23,3.2,3.23,31435,0
OTH.US,60,20251120,220000,3.2,3.22,3.2,3.22,64629,0
OTH.US,60,20251121,160000,3.2991,3.2991,3.21,3.23,2081,0
OTH.US,60,20251121,170000,3.23,3.254,3.18,3.18,2702,0
OTH.US,60,20251121,180000,3.16,3.16,3.06,3.06,16346,0
OTH.US,60,20251121,190000,3.07,3.14,3.0497,3.1,3379,0
OTH.US,60,20251121,200000,3.1,3.2,3.06,3.18,22457,0
OTH.US,60,20251121,210000,3.15,3.2,3.1,3.2,24880,0
OTH.US,60,20251121,220000,3.2,3.2,3.14,3.19,14405,0
OTH.US,60,20251124,160000,3.1017,3.19,3.1,3.19,2078,0
OTH.US,60,20251124,170000,3.18,3.18,3.05,3.06,11048,0
OTH.US,60,20251124,180000,3.06,3.15,3.05,3.15,8564,0
OTH.US,60,20251124,190000,3.12,3.14,3.075,3.09,984,0
OTH.US,60,20251124,200000,3.09,3.1153,3.08,3.085,6486,0
OTH.US,60,20251124,210000,3.08,3.1,3.06,3.1,1037,0
OTH.US,60,20251124,220000,3.1,3.1,3.05,3.08,4729,0
OTH.US,60,20251125,160000,3.08,3.44,3.0113,3.3,103977,0
OTH.US,60,20251125,170000,3.29,3.38,3.25,3.3,35924,0
OTH.US,60,20251125,180000,3.31,3.36,3.24,3.34,43431,0
OTH.US,60,20251125,190000,3.35,3.37,3.3,3.325,5459,0
OTH.US,60,20251125,200000,3.3,3.34,3.2723,3.2723,3399,0
OTH.US,60,20251125,210000,3.3,3.3699,3.29,3.34,11452,0
OTH.US,60,20251125,220000,3.37,3.37,3.25,3.27,10229,0
OTH.US,60,20251126,160000,3.28,3.47,3.28,3.44,32219,0
OTH.US,60,20251126,170000,3.4874,3.49,3.42,3.49,12041,0
OTH.US,60,20251126,180000,3.47,3.54,3.41,3.51,25117,0
OTH.US,60,20251126,190000,3.505,3.505,3.458,3.49,6706,0
OTH.US,60,20251126,200000,3.425,3.475,3.4,3.4,2271,0
OTH.US,60,20251126,210000,3.425,3.49,3.425,3.48,3757,0
OTH.US,60,20251126,220000,3.4471,3.4587,3.37,3.37,4075,0
OTH.US,60,20251128,160000,3.5,3.6,3.5,3.6,1885,0
OTH.US,60,20251128,170000,3.5,3.5,3.4531,3.4531,5400,0
OTH.US,60,20251128,180000,3.54,3.57,3.37,3.57,3656,0
OTH.US,60,20251128,190000,3.41,3.56,3.3901,3.48,7036,0
OTH.US,60,20251201,160000,3.48,3.525,3.2802,3.39,5454,0
OTH.US,60,20251201,170000,3.42,3.59,3.3403,3.5,88955,0
OTH.US,60,20251201,180000,3.4668,3.525,3.4,3.42,16064,0
OTH.US,60,20251201,190000,3.42,3.45,3.37,3.41,2068,0
OTH.US,60,20251201,200000,3.45,3.5,3.43,3.4994,6179,0
OTH.US,60,20251201,210000,3.46,3.49,3.3601,3.47,4480,0
OTH.US,60,20251201,220000,3.49,3.51,3.41,3.45,26217,0
OTH.US,60,20251202,160000,3.5,3.5,3.44,3.5,1934,0
OTH.US,60,20251202,170000,3.48,3.49,3.4,3.45,6532,0
OTH.US,60,20251202,180000,3.445,3.445,3.445,3.445,145,0
OTH.US,60,20251202,190000,3.41,3.425,3.35,3.389,11874,0
OTH.US,60,20251202,200000,3.38,3.385,3.28,3.295,15423,0
OTH.US,60,20251202,210000,3.34,3.35,3.3,3.32,10097,0
OTH.US,60,20251202,220000,3.36,3.53,3.36,3.4607,18289,0
OTH.US,60,20251203,160000,3.4556,3.5,3.33,3.435,11724,0
OTH.US,60,20251203,170000,3.4332,3.46,3.43,3.46,3000,0
OTH.US,60,20251203,180000,3.46,3.46,3.37,3.37,700,0
OTH.US,60,20251203,190000,3.42,3.42,3.3958,3.3958,6135,0
OTH.US,60,20251203,200000,3.4,3.41,3.4,3.41,5361,0
OTH.US,60,20251203,210000,3.42,3.49,3.42,3.45,19969,0
OTH.US,60,20251203,220000,3.45,3.47,3.4,3.41,5473,0
OTH.US,60,20251204,160000,3.41,3.45,3.33,3.33,20506,0
OTH.US,60,20251204,170000,3.4,3.43,3.4,3.41,7637,0
OTH.US,60,20251204,180000,3.41,3.41,3.41,3.41,1782,0
OTH.US,60,20251204,190000,3.39,3.41,3.37,3.37,1400,0
OTH.US,60,20251204,200000,3.36,3.38,3.35,3.38,1771,0
OTH.US,60,20251204,210000,3.38,3.38,3.35,3.3501,2476,0
OTH.US,60,20251204,220000,3.375,3.375,3.28,3.32,22785,0
OTH.US,60,20251205,160000,3.324,3.324,3.3,3.3,9798,0
OTH.US,60,20251205,170000,3.31,3.335,3.2706,3.335,2636,0
OTH.US,60,20251205,180000,3.39,3.39,3.3,3.31,3019,0
OTH.US,60,20251205,190000,3.31,3.31,3.285,3.285,300,0
OTH.US,60,20251205,200000,3.31,3.32,3.31,3.32,1517,0
OTH.US,60,20251205,210000,3.31,3.32,3.285,3.285,1972,0
OTH.US,60,20251205,220000,3.31,3.34,3.26,3.29,5827,0
OTH.US,60,20251208,160000,3.32,3.33,3.28,3.28,4698,0
OTH.US,60,20251208,170000,3.27,3.33,3.26,3.27,1651,0
OTH.US,60,20251208,180000,3.26,3.3007,3.25,3.25,750,0
OTH.US,60,20251208,190000,3.25,3.25,3.13,3.2,5747,0
OTH.US,60,20251208,200000,3.22,3.25,3.16,3.175,23036,0
OTH.US,60,20251208,210000,3.18,3.18,3.075,3.075,14899,0
OTH.US,60,20251208,220000,3.1095,3.17,3.1,3.1427,3456,0
OTH.US,60,20251209,160000,3.1169,3.1169,3.1169,3.1169,3600,0
OTH.US,60,20251209,170000,3.12,3.2143,3.05,3.0803,7478,0
OTH.US,60,20251209,180000,3.0998,3.1771,3.02,3.04,25372,0
OTH.US,60,20251209,190000,3.0556,3.155,3.02,3.0801,12055,0
OTH.US,60,20251209,200000,3.0801,3.14,2.95,2.985,21328,0
OTH.US,60,20251209,210000,2.95,2.979,2.87,2.92,6563,0
OTH.US,60,20251209,220000,2.9,3.13,2.9,3.13,30216,0
OTH.US,60,20251210,160000,3.06,3.1095,3.01,3.01,12829,0
OTH.US,60,20251210,170000,3.0666,3.0666,2.896,2.94,19449,0
OTH.US,60,20251210,180000,2.94,2.98,2.94,2.98,1272,0
OTH.US,60,20251210,190000,3,3.0824,2.97,3.05,4372,0
OTH.US,60,20251210,200000,3.03,3.05,3.03,3.05,1100,0
OTH.US,60,20251210,210000,3.032,3.04,3.03,3.03,900,0
OTH.US,60,20251210,220000,3.065,3.1243,3.0301,3.1,10033,0
OTH.US,60,20251211,160000,3.04,3.04,2.9224,2.9224,5219,0
OTH.US,60,20251211,170000,2.92,3.017,2.92,3,4737,0
OTH.US,60,20251211,180000,2.98,3.02,2.98,3.02,700,0
OTH.US,60,20251211,190000,3.05,3.15,3,3.02,9731,0
OTH.US,60,20251211,200000,3.035,3.035,2.95,2.96,7516,0
OTH.US,60,20251211,210000,3,3,2.95,2.95,8702,0
OTH.US,60,20251211,220000,2.95,3,2.95,2.97,9072,0
OTH.US,60,20251212,160000,2.95,3,2.8,2.905,29318,0
OTH.US,60,20251212,170000,2.83,2.9286,2.83,2.87,9015,0
OTH.US,60,20251212,180000,2.84,2.8911,2.84,2.875,4759,0
OTH.US,60,20251212,190000,2.89,2.89,2.8,2.8,8718,0
OTH.US,60,20251212,200000,2.825,2.9999,2.825,2.89,32302,0
OTH.US,60,20251212,210000,2.8845,2.9983,2.83,2.85,41738,0
OTH.US,60,20251212,220000,2.8501,2.9664,2.81,2.83,45345,0
OTH.US,60,20251215,160000,2.8501,2.945,2.8501,2.91,7364,0
OTH.US,60,20251215,170000,2.91,2.9985,2.91,2.99,13071,0
OTH.US,60,20251215,180000,2.9916,3.13,2.93,3,29015,0
OTH.US,60,20251215,190000,3,3.26,2.96,3.12,31767,0
OTH.US,60,20251215,200000,3.09,3.25,3.07,3.1,22224,0
OTH.US,60,20251215,210000,3.165,3.24,3.08,3.08,12346,0
OTH.US,60,20251215,220000,3.12,3.36,3.0986,3.26,64130,0
OTH.US,60,20251216,160000,3.2,3.21,2.87,3,20810,0
OTH.US,60,20251216,170000,3.02,3.0609,2.94,3,21868,0
OTH.US,60,20251216,180000,3,3,2.92,2.96,13056,0
OTH.US,60,20251216,190000,3,3.025,2.85,2.9,37358,0
OTH.US,60,20251216,200000,2.9,2.91,2.87,2.88,10979,0
OTH.US,60,20251216,210000,2.9,2.9,2.84,2.85,5402,0
OTH.US,60,20251216,220000,2.81,2.85,2.7001,2.76,13219,0
OTH.US,60,20251217,160000,2.7551,2.78,2.5,2.5215,17422,0
OTH.US,60,20251217,170000,2.565,2.8536,2.5386,2.6,9374,0
OTH.US,60,20251217,180000,2.6,2.65,2.57,2.58,10532,0
OTH.US,60,20251217,190000,2.58,2.59,2.58,2.585,2760,0
OTH.US,60,20251217,200000,2.6,2.7258,2.48,2.55,14138,0
OTH.US,60,20251217,210000,2.55,2.6991,2.54,2.55,10048,0
OTH.US,60,20251217,220000,2.62,2.65,2.51,2.51,19770,0
OTH.US,60,20251218,160000,2.5487,2.5487,2.5487,2.5487,200,0
OTH.US,60,20251218,170000,2.555,2.555,2.4,2.43,12173,0
OTH.US,60,20251218,180000,2.43,2.43,2.2956,2.3703,10479,0
OTH.US,60,20251218,190000,2.3717,2.39,2.32,2.35,18659,0
OTH.US,60,20251218,200000,2.335,2.3711,2.321,2.33,28262,0
OTH.US,60,20251218,210000,2.33,2.38,2.32,2.3303,3613,0
OTH.US,60,20251218,220000,2.32,2.36,2.31,2.31,31094,0
OTH.US,60,20251219,160000,2.29,2.333,2.29,2.3,665,0
OTH.US,60,20251219,170000,2.36,2.36,2.22,2.28,18160,0
OTH.US,60,20251219,180000,2.26,2.31,2.22,2.31,9107,0
OTH.US,60,20251219,190000,2.31,2.3734,2.3,2.3734,6170,0
OTH.US,60,20251219,200000,2.31,2.3899,2.31,2.36,2028,0
OTH.US,60,20251219,210000,2.34,2.3735,2.32,2.3322,4020,0
OTH.US,60,20251219,220000,2.37,2.445,2.3,2.3,42825,0
OTH.US,60,20251222,160000,2.26,2.26,2.25,2.25,2500,0
OTH.US,60,20251222,170000,2.3,2.3,2.27,2.2899,9793,0
OTH.US,60,20251222,180000,2.27,2.29,2.25,2.25,700,0
OTH.US,60,20251222,190000,2.2501,2.28,2.25,2.26,1645,0
OTH.US,60,20251222,200000,2.26,2.3176,2.25,2.25,5556,0
OTH.US,60,20251222,210000,2.26,2.3,2.25,2.26,3742,0
OTH.US,60,20251222,220000,2.27,2.29,2.25,2.25,4041,0
OTH.US,60,20251223,160000,2.27,2.3088,2.25,2.27,10295,0
OTH.US,60,20251223,170000,2.26,2.26,2.11,2.175,7342,0
OTH.US,60,20251223,180000,2.17,2.2531,2.17,2.17,6504,0
OTH.US,60,20251223,190000,2.17,2.2,2.17,2.18,2740,0
OTH.US,60,20251223,200000,2.18,2.2288,2.18,2.18,1927,0
OTH.US,60,20251223,210000,2.18,2.1931,2.18,2.1931,2086,0
OTH.US,60,20251223,220000,2.18,2.2,2.17,2.2,1019,0
OTH.US,60,20251224,160000,2.16,2.17,2.16,2.17,924,0
OTH.US,60,20251224,170000,2.18,2.31,2.15,2.25,13159,0
OTH.US,60,20251224,180000,2.28,2.28,2.23,2.23,2952,0
OTH.US,60,20251224,190000,2.23,2.26,2.19,2.2,5832,0
OTH.US,60,20251226,160000,2.16,2.2338,2.16,2.2,1966,0
OTH.US,60,20251226,170000,2.2,2.245,2.2,2.2,4887,0
OTH.US,60,20251226,180000,2.2,2.2,2.2,2.2,4320,0
OTH.US,60,20251226,190000,2.2,2.21,2.2,2.2,4566,0
OTH.US,60,20251226,200000,2.2,2.21,2.2,2.2,2929,0
OTH.US,60,20251226,210000,2.2,2.2384,2.2,2.2,4557,0
OTH.US,60,20251226,220000,2.2,2.25,2.2,2.25,11582,0
