<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USAS.US,60,20240411,160000,0.73925,0.73925,0.707,0.7115,73090,0
USAS.US,60,20240411,170000,0.71225,0.715,0.71,0.71,42320,0
USAS.US,60,20240411,180000,0.710375,0.72475,0.71,0.713875,44526.4,0
USAS.US,60,20240411,190000,0.713125,0.715,0.71,0.71325,102380,0
USAS.US,60,20240411,200000,0.71325,0.71675,0.71075,0.715625,69230,0
USAS.US,60,20240411,210000,0.71575,0.72475,0.71025,0.721,88301.2,0
USAS.US,60,20240411,220000,0.721,0.723,0.71,0.72,78522.4,0
USAS.US,60,20240412,160000,0.775,0.7795,0.75,0.76675,314559.2,0
USAS.US,60,20240412,170000,0.7665,0.7745,0.7625,0.76275,194386.4,0
USAS.US,60,20240412,180000,0.764372,0.7665,0.745,0.754,164709.2,0
USAS.US,60,20240412,190000,0.752,0.752,0.7225,0.72825,150311.6,0
USAS.US,60,20240412,200000,0.7315,0.7315,0.704,0.70675,112972.8,0
USAS.US,60,20240412,210000,0.70675,0.717,0.68975,0.68975,204643.2,0
USAS.US,60,20240412,220000,0.68975,0.74225,0.675,0.74225,114291.2,0
USAS.US,60,20240415,160000,0.74125,0.75,0.67925,0.6805,130498.40000000001,0
USAS.US,60,20240415,170000,0.69975,0.69975,0.65425,0.6545,110108.8,0
USAS.US,60,20240415,180000,0.6545,0.67475,0.65425,0.67475,100863.2,0
USAS.US,60,20240415,190000,0.67475,0.6855,0.6615,0.6745,86375.2,0
USAS.US,60,20240415,200000,0.67,0.6745,0.6675,0.6745,50481.6,0
USAS.US,60,20240415,210000,0.6745,0.686,0.6745,0.67525,64784,0
USAS.US,60,20240415,220000,0.67625,0.78,0.6755,0.78,157192.8,0
USAS.US,60,20240416,160000,0.71425,0.71425,0.662,0.67325,78149.2,0
USAS.US,60,20240416,170000,0.6725,0.67325,0.65,0.66275,101413.6,0
USAS.US,60,20240416,180000,0.66275,0.672,0.66025,0.66625,55375.2,0
USAS.US,60,20240416,190000,0.66625,0.674,0.66125,0.6705,66415.2,0
USAS.US,60,20240416,200000,0.672,0.67725,0.6705,0.677,56437.6,0
USAS.US,60,20240416,210000,0.677,0.681,0.6705,0.6705,40340.8,0
USAS.US,60,20240416,220000,0.6705,0.6825,0.6705,0.67375,83059.6,0
USAS.US,60,20240417,160000,0.69725,0.70025,0.67725,0.691,30166,0
USAS.US,60,20240417,170000,0.6775,0.69125,0.6625,0.67275,45538.8,0
USAS.US,60,20240417,180000,0.673,0.675,0.67175,0.67175,32439.2,0
USAS.US,60,20240417,190000,0.66525,0.6725,0.66275,0.663,41350,0
USAS.US,60,20240417,200000,0.66325,0.6635,0.65275,0.653,15125.6,0
USAS.US,60,20240417,210000,0.656,0.67475,0.65475,0.6745,79557.6,0
USAS.US,60,20240417,220000,0.67475,0.675,0.6625,0.6625,36701.2,0
USAS.US,60,20240418,160000,0.6875,0.6985,0.67125,0.674702,22689.600000000002,0
USAS.US,60,20240418,170000,0.67,0.67,0.6595,0.6595,42851.6,0
USAS.US,60,20240418,180000,0.6595,0.66225,0.65,0.65575,71680,0
USAS.US,60,20240418,190000,0.6545,0.658,0.64275,0.64275,41252.8,0
USAS.US,60,20240418,200000,0.64275,0.64275,0.6405,0.6405,9198,0
USAS.US,60,20240418,210000,0.641,0.641,0.64,0.641,37497.2,0
USAS.US,60,20240418,220000,0.64075,0.661,0.6405,0.648,125220.8,0
USAS.US,60,20240419,160000,0.63775,0.64975,0.63775,0.64,28456,0
USAS.US,60,20240419,170000,0.639,0.65,0.63875,0.63975,13232,0
USAS.US,60,20240419,180000,0.64,0.64925,0.63925,0.649,38337.6,0
USAS.US,60,20240419,190000,0.649,0.66825,0.649,0.6665,19356.8,0
USAS.US,60,20240419,200000,0.664125,0.697,0.64925,0.69375,145036.4,0
USAS.US,60,20240419,210000,0.6935,0.72275,0.6935,0.69575,101176.8,0
USAS.US,60,20240419,220000,0.69575,0.69975,0.675,0.695,60051.2,0
USAS.US,60,20240422,160000,0.65,0.675,0.63775,0.65525,66704,0
USAS.US,60,20240422,170000,0.65525,0.66,0.6505,0.659975,38168.4,0
USAS.US,60,20240422,180000,0.65975,0.65975,0.63825,0.64975,70006.4,0
USAS.US,60,20240422,190000,0.64975,0.6575,0.639,0.6575,28529.6,0
USAS.US,60,20240422,200000,0.65675,0.66,0.6525,0.65625,2971.6,0
USAS.US,60,20240422,210000,0.657,0.66,0.648,0.648,27060.8,0
USAS.US,60,20240422,220000,0.648,0.65975,0.648,0.65525,27846,0
USAS.US,60,20240423,160000,0.6375,0.6885,0.6375,0.6885,62984,0
USAS.US,60,20240423,170000,0.6885,0.69975,0.68525,0.69,84008,0
USAS.US,60,20240423,180000,0.683,0.6905,0.675,0.67975,22155.2,0
USAS.US,60,20240423,190000,0.68,0.68725,0.68,0.68725,12328,0
USAS.US,60,20240423,200000,0.684,0.6875,0.68375,0.6875,18821.6,0
USAS.US,60,20240423,210000,0.6875,0.6875,0.683,0.6865,27991.6,0
USAS.US,60,20240423,220000,0.6865,0.6875,0.663,0.675,41678,0
USAS.US,60,20240424,160000,0.67775,0.68025,0.6625,0.666625,39411.200000000004,0
USAS.US,60,20240424,170000,0.66825,0.678,0.6645,0.665,40419.2,0
USAS.US,60,20240424,180000,0.665,0.66775,0.663,0.663,10794.4,0
USAS.US,60,20240424,190000,0.663,0.663,0.64525,0.64525,83362.4,0
USAS.US,60,20240424,200000,0.64525,0.65775,0.64425,0.65075,20895.2,0
USAS.US,60,20240424,210000,0.65425,0.6575,0.651,0.65475,7268.4,0
USAS.US,60,20240424,220000,0.65625,0.6605,0.6515,0.65275,45523.2,0
USAS.US,60,20240425,160000,0.64925,0.6515,0.64875,0.64875,11726.400000000001,0
USAS.US,60,20240425,170000,0.64875,0.6595,0.6485,0.654,20762.4,0
USAS.US,60,20240425,180000,0.65475,0.66975,0.65475,0.661,43544,0
USAS.US,60,20240425,190000,0.666,0.666,0.659,0.6645,21052,0
USAS.US,60,20240425,200000,0.66525,0.66825,0.66,0.6655,21579.6,0
USAS.US,60,20240425,210000,0.66675,0.66675,0.66625,0.6665,88656,0
USAS.US,60,20240425,220000,0.66675,0.67425,0.662,0.662,133268.8,0
USAS.US,60,20240426,160000,0.675,0.676188,0.66525,0.66675,31393.2,0
USAS.US,60,20240426,170000,0.6605,0.6685,0.65,0.652,49054.4,0
USAS.US,60,20240426,180000,0.65225,0.673,0.6515,0.6585,43832.8,0
USAS.US,60,20240426,190000,0.669,0.675,0.66875,0.675,20981.2,0
USAS.US,60,20240426,200000,0.6735,0.67475,0.66775,0.67025,11243.6,0
USAS.US,60,20240426,210000,0.67225,0.675,0.671,0.675,12136.4,0
